学号,姓名,性别,年级,班级,语文,数学,英语,综合理科,体育,总分,平均分
S00109,学生_0109,女,高三,A班,84,59,76,94,92,405,81.0
S00110,学生_0110,男,高二,B班,89,85,66,89,81,410,82.0
S00111,学生_0111,女,高二,A班,79,82,75,51,90,377,75.4
S00112,学生_0112,男,高二,C班,65,73,67,79,83,367,73.4
S00113,学生_0113,女,高二,C班,81,97,80,62,87,407,81.4
S00114,学生_0114,女,高二,A班,71,62,67,73,75,348,69.6
S00115,学生_0115,男,高三,B班,72,56,76,74,85,363,72.6
S00116,学生_0116,女,高二,C班,83,66,71,66,61,347,69.4
S00117,学生_0117,男,高三,B班,90,74,86,59,83,392,78.4
S00118,学生_0118,女,高三,B班,78,77,71,60,71,357,71.4
S00119,学生_0119,女,高一,C班,81,72,48,57,94,352,70.4
S00120,学生_0120,男,高一,B班,95,79,88,58,91,411,82.2
S00121,学生_0121,女,高一,C班,80,59,60,69,88,356,71.2
S00122,学生_0122,男,高一,B班,100,92,63,59,97,411,82.2
S00123,学生_0123,女,高一,C班,83,74,64,79,77,377,75.4
S00124,学生_0124,男,高二,A班,60,88,89,90,98,425,85.0
S00125,学生_0125,男,高一,C班,85,79,44,61,92,361,72.2
S00126,学生_0126,女,高一,C班,81,80,100,73,83,417,83.4
S00127,学生_0127,女,高三,C班,90,81,85,76,94,426,85.2
S00128,学生_0128,男,高一,C班,84,80,74,76,76,390,78.0
S00129,学生_0129,女,高三,B班,76,82,71,71,78,378,75.6
S00130,学生_0130,女,高一,A班,65,90,75,80,80,390,78.0
S00131,学生_0131,女,高一,C班,75,77,78,76,80,386,77.2
S00132,学生_0132,男,高二,B班,69,83,80,52,76,360,72.0
S00133,学生_0133,男,高二,A班,72,73,79,82,94,400,80.0
S00134,学生_0134,男,高三,A班,83,92,73,82,82,412,82.4
S00135,学生_0135,男,高三,A班,94,66,69,59,87,375,75.0
S00136,学生_0136,男,高三,A班,81,96,70,70,80,397,79.4
S00137,学生_0137,男,高一,C班,66,74,69,79,70,358,71.6
S00138,学生_0138,男,高一,C班,82,57,86,67,87,379,75.8
S00139,学生_0139,男,高三,B班,89,76,79,85,69,398,79.6
S00140,学生_0140,男,高三,B班,71,66,33,100,84,354,70.8
S00141,学生_0141,女,高三,B班,76,85,80,58,74,373,74.6
S00142,学生_0142,男,高二,A班,78,67,74,50,100,369,73.8
S00143,学生_0143,女,高二,A班,70,69,71,74,92,376,75.2
S00144,学生_0144,女,高三,C班,84,52,66,80,85,367,73.4
S00145,学生_0145,女,高一,A班,76,69,86,66,95,392,78.4
S00146,学生_0146,男,高三,A班,82,45,84,90,78,379,75.8
S00147,学生_0147,男,高三,A班,69,55,61,51,89,325,65.0
S00148,学生_0148,男,高二,B班,73,84,77,79,86,399,79.8
S00149,学生_0149,男,高三,B班,85,84,59,61,87,376,75.2
S00150,学生_0150,女,高三,C班,74,80,54,94,95,397,79.4
S00151,学生_0151,男,高一,A班,95,63,63,97,90,408,81.6
S00152,学生_0152,男,高三,A班,74,74,83,59,87,377,75.4
S00153,学生_0153,男,高二,C班,80,74,84,62,71,371,74.2
S00154,学生_0154,男,高三,A班,87,61,78,82,77,385,77.0
S00155,学生_0155,男,高一,A班,63,93,81,64,84,385,77.0
S00156,学生_0156,女,高三,B班,60,85,78,69,85,377,75.4
S00157,学生_0157,男,高二,C班,62,72,63,70,75,342,68.4
S00158,学生_0158,女,高一,C班,90,75,77,43,100,385,77.0
S00159,学生_0159,男,高三,C班,72,77,82,69,97,397,79.4
S00160,学生_0160,女,高一,C班,100,50,81,60,89,380,76.0
S00161,学生_0161,男,高一,B班,72,72,87,63,85,379,75.8
S00162,学生_0162,男,高三,B班,79,66,81,90,83,399,79.8
S00163,学生_0163,女,高三,A班,93,62,76,52,77,360,72.0
S00164,学生_0164,女,高二,A班,98,71,85,81,85,420,84.0
S00165,学生_0165,女,高二,A班,98,96,71,66,87,418,83.6
S00166,学生_0166,男,高二,A班,90,82,60,66,75,373,74.6
S00167,学生_0167,女,高一,B班,88,68,69,81,87,393,78.6
S00168,学生_0168,男,高一,C班,83,81,62,74,83,383,76.6
S00169,学生_0169,男,高二,B班,85,91,63,77,69,385,77.0
S00170,学生_0170,女,高三,A班,72,86,70,83,78,389,77.8
S00171,学生_0171,女,高三,B班,69,75,61,65,81,351,70.2
S00172,学生_0172,男,高三,C班,77,67,67,61,100,372,74.4
S00173,学生_0173,男,高一,C班,76,83,47,54,89,349,69.8
S00174,学生_0174,女,高二,B班,73,79,74,58,74,358,71.6
S00175,学生_0175,女,高一,B班,84,85,72,100,88,429,85.8
S00176,学生_0176,女,高二,B班,87,82,61,87,72,389,77.8
S00177,学生_0177,男,高二,A班,78,87,80,51,93,389,77.8
S00178,学生_0178,男,高三,B班,92,68,84,51,81,376,75.2
S00179,学生_0179,男,高二,B班,66,90,51,76,84,367,73.4
S00180,学生_0180,男,高一,B班,76,77,62,77,95,387,77.4
S00181,学生_0181,男,高一,C班,70,99,62,77,74,382,76.4
S00182,学生_0182,男,高三,C班,59,66,59,66,73,323,64.6
S00183,学生_0183,女,高二,A班,77,95,82,68,80,402,80.4
S00184,学生_0184,男,高一,A班,76,77,69,74,93,389,77.8
S00185,学生_0185,男,高一,C班,93,67,68,71,72,371,74.2
S00186,学生_0186,男,高三,C班,84,69,45,38,62,298,59.6
S00187,学生_0187,女,高一,C班,67,71,80,66,81,365,73.0
S00188,学生_0188,男,高三,B班,96,80,55,58,89,378,75.6
S00189,学生_0189,男,高三,B班,90,81,72,72,94,409,81.8
S00190,学生_0190,女,高一,C班,83,68,75,100,81,407,81.4
S00191,学生_0191,男,高一,B班,75,74,89,75,81,394,78.8
S00192,学生_0192,男,高三,B班,68,100,54,65,94,381,76.2
S00193,学生_0193,男,高二,A班,74,95,32,82,70,353,70.6
S00194,学生_0194,男,高二,C班,88,80,74,76,81,399,79.8
S00195,学生_0195,男,高三,C班,96,75,95,75,86,427,85.4
S00196,学生_0196,女,高三,B班,93,76,88,78,88,423,84.6
S00197,学生_0197,女,高三,C班,73,82,74,98,80,407,81.4
S00198,学生_0198,女,高三,A班,66,62,65,54,85,332,66.4
S00199,学生_0199,男,高二,A班,79,71,82,76,65,373,74.6
S00200,学生_0200,男,高一,A班,60,54,59,57,79,309,61.8
S00201,学生_0201,男,高三,C班,81,79,78,77,88,403,80.6
S00202,学生_0202,女,高二,C班,76,82,78,57,77,370,74.0
S00203,学生_0203,男,高二,C班,73,69,85,64,85,376,75.2
S00204,学生_0204,男,高三,C班,62,93,100,65,88,408,81.6
S00205,学生_0205,女,高一,C班,83,60,77,83,82,385,77.0
S00206,学生_0206,男,高二,A班,72,57,65,82,86,362,72.4
S00207,学生_0207,女,高一,B班,66,77,71,52,77,343,68.6
S00208,学生_0208,女,高二,A班,49,87,49,70,83,338,67.6
S00209,学生_0209,女,高一,C班,77,95,62,60,89,383,76.6
S00210,学生_0210,男,高一,A班,95,69,66,52,86,368,73.6
S00211,学生_0211,男,高一,C班,94,87,65,66,80,392,78.4
S00212,学生_0212,男,高二,C班,73,74,73,65,86,371,74.2
S00213,学生_0213,男,高三,A班,71,72,61,100,90,394,78.8
S00214,学生_0214,男,高二,C班,82,85,86,76,68,397,79.4
S00215,学生_0215,男,高三,B班,68,82,72,50,94,366,73.2
S00216,学生_0216,男,高二,C班,81,56,71,62,82,352,70.4
S00217,学生_0217,女,高一,B班,85,92,67,84,88,416,83.2
S00218,学生_0218,男,高三,B班,90,91,74,99,94,448,89.6
S00219,学生_0219,女,高一,C班,76,67,82,47,74,346,69.2
S00220,学生_0220,男,高三,A班,75,79,60,43,79,336,67.2
S00221,学生_0221,男,高一,B班,69,80,63,96,82,390,78.0
S00222,学生_0222,男,高三,A班,69,78,68,75,78,368,73.6
S00223,学生_0223,女,高一,B班,75,68,54,57,98,352,70.4
S00224,学生_0224,女,高三,C班,81,66,61,77,78,363,72.6
S00225,学生_0225,女,高二,C班,87,74,65,33,80,339,67.8
S00226,学生_0226,女,高三,B班,69,89,83,70,86,397,79.4
S00227,学生_0227,男,高一,C班,92,81,75,74,75,397,79.4
S00228,学生_0228,女,高二,B班,75,70,74,82,81,382,76.4
S00229,学生_0229,男,高三,C班,77,84,83,55,87,386,77.2
S00230,学生_0230,男,高二,A班,70,40,70,71,82,333,66.6
S00231,学生_0231,女,高二,C班,53,88,77,57,84,359,71.8
S00232,学生_0232,女,高二,A班,86,54,70,73,80,363,72.6
S00233,学生_0233,女,高二,C班,85,70,75,57,72,359,71.8
S00234,学生_0234,女,高二,A班,75,61,64,64,87,351,70.2
S00235,学生_0235,女,高二,C班,78,59,40,56,99,332,66.4
S00236,学生_0236,女,高三,A班,83,88,70,79,85,405,81.0
S00237,学生_0237,女,高一,B班,62,69,90,82,86,389,77.8
S00238,学生_0238,女,高一,B班,72,79,84,66,90,391,78.2
S00239,学生_0239,男,高三,A班,85,74,84,70,74,387,77.4
S00240,学生_0240,女,高三,C班,65,80,88,49,98,380,76.0
S00241,学生_0241,女,高二,A班,80,75,73,65,86,379,75.8
S00242,学生_0242,男,高二,C班,64,59,74,69,98,364,72.8
S00243,学生_0243,女,高一,B班,82,86,63,100,79,410,82.0
S00244,学生_0244,男,高一,C班,77,69,67,54,99,366,73.2
S00245,学生_0245,男,高二,B班,61,56,80,90,91,378,75.6
S00246,学生_0246,女,高二,C班,89,69,87,83,89,417,83.4
S00247,学生_0247,男,高二,C班,70,93,70,73,86,392,78.4
S00248,学生_0248,男,高一,C班,69,85,66,94,83,397,79.4
S00249,学生_0249,男,高三,A班,80,70,72,75,94,391,78.2
S00250,学生_0250,男,高三,A班,89,70,79,75,86,399,79.8
S00251,学生_0251,女,高二,B班,67,71,53,69,69,329,65.8
S00252,学生_0252,男,高二,B班,78,99,42,87,76,382,76.4
S00253,学生_0253,女,高一,A班,82,79,64,85,83,393,78.6
S00254,学生_0254,男,高三,B班,84,80,56,61,87,368,73.6
S00255,学生_0255,男,高二,A班,79,87,65,51,84,366,73.2
S00256,学生_0256,男,高一,C班,74,77,70,67,94,382,76.4
S00257,学生_0257,男,高三,B班,69,71,66,58,69,333,66.6
S00258,学生_0258,女,高三,B班,78,72,90,69,86,395,79.0
S00259,学生_0259,女,高三,A班,67,74,76,87,70,374,74.8
S00260,学生_0260,男,高三,B班,48,74,75,63,91,351,70.2
S00261,学生_0261,男,高二,B班,82,83,80,69,84,398,79.6
S00262,学生_0262,女,高二,C班,87,75,57,70,88,377,75.4
S00263,学生_0263,男,高三,B班,54,83,85,81,78,381,76.2
S00264,学生_0264,男,高三,C班,67,74,71,38,95,345,69.0
S00265,学生_0265,男,高一,A班,84,75,80,61,93,393,78.6
S00266,学生_0266,女,高一,B班,98,51,58,72,89,368,73.6
S00267,学生_0267,女,高二,C班,78,85,51,86,83,383,76.6
S00268,学生_0268,女,高三,A班,70,79,82,63,89,383,76.6
S00269,学生_0269,男,高三,B班,76,86,76,43,79,360,72.0
S00270,学生_0270,男,高一,A班,91,40,60,78,91,360,72.0
S00271,学生_0271,女,高二,B班,71,100,60,61,98,390,78.0
S00272,学生_0272,女,高二,A班,70,73,86,53,93,375,75.0
S00273,学生_0273,女,高三,A班,73,88,56,61,79,357,71.4
S00274,学生_0274,女,高三,C班,68,62,93,67,87,377,75.4
S00275,学生_0275,男,高三,A班,79,82,60,61,74,356,71.2
S00276,学生_0276,女,高二,B班,94,62,80,39,89,364,72.8
S00277,学生_0277,男,高二,B班,81,67,67,82,88,385,77.0
S00278,学生_0278,女,高一,C班,75,97,79,87,70,408,81.6
S00279,学生_0279,男,高一,B班,75,72,64,79,75,365,73.0
S00280,学生_0280,女,高三,B班,62,77,69,54,82,344,68.8
S00281,学生_0281,女,高三,B班,86,85,72,67,82,392,78.4
S00282,学生_0282,女,高三,A班,77,80,58,69,75,359,71.8
S00283,学生_0283,女,高三,A班,76,76,81,78,88,399,79.8
S00284,学生_0284,男,高二,B班,100,79,65,79,87,410,82.0
S00285,学生_0285,女,高三,C班,80,100,69,59,83,391,78.2
S00286,学生_0286,男,高三,A班,70,74,59,71,78,352,70.4
S00287,学生_0287,男,高三,C班,73,77,38,76,93,357,71.4
S00288,学生_0288,男,高一,B班,89,87,69,90,98,433,86.6
S00289,学生_0289,男,高二,B班,79,88,100,79,81,427,85.4
S00290,学生_0290,女,高一,A班,63,89,82,81,80,395,79.0
S00291,学生_0291,男,高三,B班,87,82,71,71,88,399,79.8
S00292,学生_0292,男,高二,A班,71,61,68,89,82,371,74.2
S00293,学生_0293,男,高一,B班,96,94,72,75,83,420,84.0
S00294,学生_0294,女,高二,B班,88,61,79,57,90,375,75.0
S00295,学生_0295,女,高二,A班,73,78,56,89,69,365,73.0
S00296,学生_0296,女,高二,A班,90,65,86,79,95,415,83.0
S00297,学生_0297,女,高一,A班,78,74,81,63,85,381,76.2
S00298,学生_0298,男,高二,B班,86,78,81,63,81,389,77.8
S00299,学生_0299,男,高二,B班,82,78,77,74,84,395,79.0
S00300,学生_0300,女,高三,C班,69,80,72,76,84,381,76.2
S00301,学生_0301,男,高二,A班,71,94,80,72,71,388,77.6
S00302,学生_0302,男,高三,B班,88,80,79,74,96,417,83.4
S00303,学生_0303,男,高二,B班,74,72,67,93,85,391,78.2
S00304,学生_0304,女,高二,A班,73,86,64,85,88,396,79.2
S00305,学生_0305,女,高三,C班,68,89,73,72,92,394,78.8
S00306,学生_0306,男,高二,A班,82,60,92,83,76,393,78.6
S00307,学生_0307,女,高一,C班,98,82,55,55,88,378,75.6
S00308,学生_0308,女,高一,B班,67,83,52,75,82,359,71.8
S00309,学生_0309,女,高三,C班,78,71,74,95,91,409,81.8
S00310,学生_0310,女,高二,B班,92,91,72,66,67,388,77.6
S00311,学生_0311,女,高三,A班,77,73,74,58,84,366,73.2
S00312,学生_0312,男,高一,A班,82,76,75,60,80,373,74.6
S00313,学生_0313,女,高一,A班,67,72,69,54,88,350,70.0
S00314,学生_0314,男,高一,C班,82,75,91,59,88,395,79.0
S00315,学生_0315,男,高二,B班,76,61,51,64,79,331,66.2
S00316,学生_0316,女,高二,A班,87,57,61,50,79,334,66.8
S00317,学生_0317,男,高二,A班,89,94,70,70,84,407,81.4
S00318,学生_0318,男,高二,B班,100,64,50,82,77,373,74.6
S00319,学生_0319,男,高三,A班,83,63,69,57,91,363,72.6
S00320,学生_0320,女,高一,B班,81,49,93,91,82,396,79.2
S00321,学生_0321,女,高二,B班,79,67,72,77,61,356,71.2
S00322,学生_0322,男,高三,B班,74,59,74,84,82,373,74.6
S00323,学生_0323,女,高二,B班,81,94,55,60,76,366,73.2
S00324,学生_0324,女,高二,B班,75,87,63,81,71,377,75.4
S00325,学生_0325,女,高三,C班,79,66,67,54,75,341,68.2
S00326,学生_0326,女,高三,A班,91,100,67,82,85,425,85.0
S00327,学生_0327,男,高一,C班,67,86,88,72,95,408,81.6
S00328,学生_0328,男,高三,A班,89,71,79,77,87,403,80.6
S00329,学生_0329,女,高二,C班,91,45,57,53,80,326,65.2
S00330,学生_0330,女,高一,B班,76,100,75,57,88,396,79.2
S00331,学生_0331,男,高二,A班,56,58,78,78,81,351,70.2
S00332,学生_0332,男,高三,A班,71,55,86,56,79,347,69.4
S00333,学生_0333,女,高二,C班,90,87,92,76,75,420,84.0
S00334,学生_0334,男,高一,C班,77,100,58,50,70,355,71.0
S00335,学生_0335,女,高二,A班,68,91,61,81,81,382,76.4
S00336,学生_0336,女,高一,C班,72,81,55,52,86,346,69.2
S00337,学生_0337,男,高一,C班,86,82,68,77,84,397,79.4
S00338,学生_0338,男,高一,C班,83,85,78,78,81,405,81.0
S00339,学生_0339,女,高一,B班,75,84,84,60,77,380,76.0
S00340,学生_0340,女,高一,B班,74,78,71,78,89,390,78.0
S00341,学生_0341,男,高一,C班,74,76,67,73,74,364,72.8
S00342,学生_0342,女,高二,C班,68,74,73,62,91,368,73.6
S00343,学生_0343,男,高一,B班,94,65,61,55,76,351,70.2
S00344,学生_0344,女,高一,B班,74,71,99,42,78,364,72.8
S00345,学生_0345,男,高三,A班,90,54,51,74,73,342,68.4
S00346,学生_0346,男,高二,A班,93,73,74,48,80,368,73.6
S00347,学生_0347,男,高二,B班,87,63,98,71,92,411,82.2
S00348,学生_0348,女,高一,C班,73,61,72,66,89,361,72.2
S00349,学生_0349,女,高一,C班,82,77,69,79,92,399,79.8
S00350,学生_0350,男,高一,C班,77,91,67,65,89,389,77.8
S00351,学生_0351,女,高一,C班,68,86,69,65,76,364,72.8
S00352,学生_0352,男,高一,A班,81,56,89,80,82,388,77.6
S00353,学生_0353,男,高一,B班,66,63,43,74,78,324,64.8
S00354,学生_0354,女,高一,C班,89,86,91,74,95,435,87.0
S00355,学生_0355,女,高一,A班,73,63,53,76,75,340,68.0
S00356,学生_0356,男,高二,C班,80,72,68,48,92,360,72.0
S00357,学生_0357,女,高一,B班,80,81,66,80,92,399,79.8
S00358,学生_0358,女,高二,A班,75,63,79,78,99,394,78.8
S00359,学生_0359,男,高二,B班,83,76,51,55,81,346,69.2
S00360,学生_0360,男,高二,B班,73,58,78,66,90,365,73.0
S00361,学生_0361,女,高一,A班,86,67,98,69,100,420,84.0
S00362,学生_0362,男,高三,A班,64,78,54,68,80,344,68.8
S00363,学生_0363,男,高二,A班,79,55,74,74,72,354,70.8
S00364,学生_0364,女,高一,A班,97,80,63,90,69,399,79.8
S00365,学生_0365,男,高三,A班,67,74,77,85,90,393,78.6
S00366,学生_0366,男,高三,A班,71,81,72,51,69,344,68.8
S00367,学生_0367,女,高一,A班,83,77,63,78,82,383,76.6
S00368,学生_0368,女,高一,C班,79,91,78,88,88,424,84.8
S00369,学生_0369,男,高三,B班,81,76,95,75,86,413,82.6
S00370,学生_0370,男,高三,A班,82,69,69,85,88,393,78.6
S00371,学生_0371,女,高一,C班,84,76,81,98,86,425,85.0
S00372,学生_0372,女,高一,C班,89,81,55,84,95,404,80.8
S00373,学生_0373,女,高二,C班,82,75,59,73,77,366,73.2
S00374,学生_0374,女,高二,B班,75,75,78,84,79,391,78.2
S00375,学生_0375,男,高二,A班,84,66,91,72,78,391,78.2
S00376,学生_0376,女,高二,C班,96,67,76,70,91,400,80.0
S00377,学生_0377,女,高二,B班,76,58,67,65,92,358,71.6
S00378,学生_0378,男,高三,B班,68,95,71,91,88,413,82.6
S00379,学生_0379,女,高一,B班,89,60,55,58,94,356,71.2
S00380,学生_0380,男,高一,C班,76,66,79,91,75,387,77.4
S00381,学生_0381,女,高三,A班,56,66,83,76,98,379,75.8
S00382,学生_0382,女,高三,C班,86,85,66,50,97,384,76.8
S00383,学生_0383,女,高二,C班,72,71,65,75,90,373,74.6
S00384,学生_0384,男,高二,A班,77,89,75,40,99,380,76.0
S00385,学生_0385,男,高一,A班,81,66,66,78,71,362,72.4
S00386,学生_0386,女,高二,A班,79,78,71,82,80,390,78.0
S00387,学生_0387,男,高二,B班,85,64,99,61,79,388,77.6
S00388,学生_0388,男,高一,A班,73,100,68,71,90,402,80.4
S00389,学生_0389,男,高一,C班,83,60,67,97,76,383,76.6
S00390,学生_0390,男,高二,A班,75,78,63,62,91,369,73.8
S00391,学生_0391,男,高一,C班,85,82,81,55,95,398,79.6
S00392,学生_0392,男,高一,B班,84,79,69,90,90,412,82.4
S00393,学生_0393,女,高一,C班,68,72,63,97,87,387,77.4
S00394,学生_0394,女,高一,C班,88,73,89,70,77,397,79.4
S00395,学生_0395,男,高一,A班,72,75,90,84,78,399,79.8
S00396,学生_0396,女,高三,A班,86,73,64,88,94,405,81.0
S00397,学生_0397,女,高二,C班,81,86,47,59,91,364,72.8
S00398,学生_0398,女,高二,A班,96,100,85,63,84,428,85.6
S00399,学生_0399,女,高三,B班,75,68,63,87,81,374,74.8
S00400,学生_0400,男,高二,B班,74,58,82,93,68,375,75.0
S00401,学生_0401,女,高一,A班,77,73,46,77,76,349,69.8
S00402,学生_0402,女,高二,B班,74,100,83,57,100,414,82.8
S00403,学生_0403,男,高二,A班,85,65,56,97,74,377,75.4
S00404,学生_0404,男,高三,C班,61,94,81,62,86,384,76.8
S00405,学生_0405,女,高二,C班,67,95,72,65,93,392,78.4
S00406,学生_0406,女,高一,B班,67,68,59,74,74,342,68.4
S00407,学生_0407,女,高一,A班,87,81,66,91,86,411,82.2
S00408,学生_0408,女,高二,A班,95,94,80,81,92,442,88.4
S00409,学生_0409,女,高二,B班,76,70,73,75,85,379,75.8
