日期,城市,最高温_℃,最低温_℃,湿度_%,风速_m/s,天气
2024-04-04,北京,33.2,27.2,51,1.8,阴
2024-04-04,北京,26.4,20.4,64,2.0,小雨
2024-04-05,昆明,26.2,20.2,60,7.1,阴
2024-04-05,哈尔滨,18.2,12.2,57,6.4,晴
2024-04-06,昆明,29.9,23.9,64,5.4,多云
2024-04-06,哈尔滨,18.7,12.7,68,0.3,小雨
2024-04-07,广州,33.0,27.0,85,2.5,晴
2024-04-07,北京,24.0,18.0,71,4.1,小雨
2024-04-08,广州,40.2,34.2,75,4.5,小雨
2024-04-08,广州,32.4,26.4,78,2.2,晴
2024-04-09,北京,20.6,14.6,55,0.0,晴
2024-04-09,广州,35.4,29.4,61,9.1,多云
2024-04-10,泸州,26.7,20.7,54,1.6,阴
2024-04-10,哈尔滨,16.7,10.7,56,1.3,大雨
2024-04-11,昆明,25.6,19.6,59,1.3,阴
2024-04-11,北京,22.5,16.5,56,1.4,多云
2024-04-12,泸州,32.4,26.4,67,0.7,晴
2024-04-12,昆明,29.9,23.9,70,1.0,小雨
2024-04-13,昆明,26.6,20.6,49,10.6,晴
2024-04-13,昆明,28.7,22.7,61,1.1,阴
2024-04-14,广州,33.3,27.3,61,1.9,晴
2024-04-14,广州,37.0,31.0,47,4.7,晴
2024-04-15,广州,31.2,25.2,55,1.9,晴
2024-04-15,广州,36.1,30.1,75,1.0,晴
2024-04-16,泸州,32.2,26.2,75,1.9,阴
2024-04-16,广州,42.4,36.4,45,0.3,晴
2024-04-17,北京,20.0,14.0,70,0.3,大雨
2024-04-17,昆明,36.1,30.1,47,3.0,多云
2024-04-18,泸州,33.3,27.3,60,6.2,多云
2024-04-18,广州,40.4,34.4,63,3.2,多云
2024-04-19,昆明,30.5,24.5,74,0.2,多云
2024-04-19,泸州,27.9,21.9,62,1.3,晴
2024-04-20,昆明,29.6,23.6,52,0.0,雪
2024-04-20,泸州,28.5,22.5,50,1.8,多云
2024-04-21,哈尔滨,17.1,11.1,67,0.5,晴
2024-04-21,泸州,26.7,20.7,57,5.1,多云
2024-04-22,广州,32.0,26.0,60,0.3,多云
2024-04-22,昆明,29.6,23.6,76,0.0,晴
2024-04-23,昆明,28.1,22.1,70,1.5,大雨
2024-04-23,昆明,29.7,23.7,84,0.4,晴
2024-04-24,北京,19.3,13.3,52,3.3,多云
2024-04-24,北京,17.7,11.7,56,6.3,雪
2024-04-25,广州,36.5,30.5,67,0.1,晴
2024-04-25,哈尔滨,19.1,13.1,86,1.3,晴
2024-04-26,北京,23.5,17.5,55,14.4,晴
2024-04-26,泸州,30.0,24.0,65,3.3,晴
2024-04-27,广州,35.2,29.2,80,7.7,晴
2024-04-27,哈尔滨,16.0,10.0,65,0.4,小雨
2024-04-28,泸州,29.9,23.9,77,0.6,小雨
2024-04-28,昆明,27.5,21.5,88,0.4,阴
2024-04-29,北京,21.6,15.6,68,0.9,多云
2024-04-29,泸州,26.7,20.7,70,3.2,小雨
2024-04-30,哈尔滨,15.7,9.7,73,0.5,多云
2024-04-30,广州,38.2,32.2,54,1.9,晴
2024-05-01,泸州,24.7,18.7,47,0.8,多云
2024-05-01,广州,29.8,23.8,66,4.4,晴
2024-05-02,昆明,18.6,12.6,57,0.0,大雨
2024-05-02,哈尔滨,15.0,9.0,77,0.6,阴
2024-05-03,哈尔滨,11.9,5.9,68,2.3,阴
2024-05-03,北京,16.1,10.1,77,0.3,阴
2024-05-04,哈尔滨,13.0,7.0,50,1.6,阴
2024-05-04,泸州,30.4,24.4,77,1.4,晴
2024-05-05,泸州,24.7,18.7,37,4.8,多云
2024-05-05,泸州,24.8,18.8,51,2.5,小雨
2024-05-06,昆明,26.8,20.8,72,2.6,晴
2024-05-06,哈尔滨,12.2,6.2,58,7.6,雪
2024-05-07,哈尔滨,8.4,2.4,60,10.1,多云
2024-05-07,泸州,26.9,20.9,66,2.6,晴
2024-05-08,北京,22.0,16.0,82,1.8,多云
2024-05-08,北京,17.8,11.8,41,2.3,小雨
2024-05-09,哈尔滨,11.6,5.6,79,1.2,多云
2024-05-09,哈尔滨,7.1,1.1,80,10.9,阴
2024-05-10,广州,25.2,19.2,58,3.1,多云
2024-05-10,哈尔滨,9.6,3.6,56,0.9,阴
2024-05-11,泸州,23.6,17.6,63,0.1,晴
2024-05-11,昆明,18.3,12.3,56,0.1,晴
2024-05-12,哈尔滨,8.9,2.9,69,0.6,晴
2024-05-12,哈尔滨,9.4,3.4,70,0.7,晴
2024-05-13,泸州,19.6,13.6,46,1.3,晴
2024-05-13,广州,25.6,19.6,53,0.6,阴
2024-05-14,哈尔滨,12.7,6.7,50,2.5,多云
2024-05-14,北京,14.2,8.2,67,0.6,晴
2024-05-15,北京,13.1,7.1,75,0.5,晴
2024-05-15,北京,21.8,15.8,52,1.6,晴
2024-05-16,昆明,19.0,13.0,75,5.5,多云
2024-05-16,昆明,15.8,9.8,53,1.6,晴
2024-05-17,哈尔滨,9.9,3.9,73,1.3,多云
2024-05-17,哈尔滨,8.5,2.5,61,2.2,多云
2024-05-18,哈尔滨,5.8,-0.2,59,0.7,多云
2024-05-18,昆明,17.2,11.2,78,1.1,阴
2024-05-19,哈尔滨,6.2,0.2,86,0.6,晴
2024-05-19,泸州,22.9,16.9,41,2.1,晴
2024-05-20,广州,25.8,19.8,72,3.0,晴
2024-05-20,北京,7.1,1.1,67,2.8,晴
2024-05-21,北京,19.0,13.0,72,0.7,晴
2024-05-21,泸州,18.2,12.2,47,3.8,小雨
2024-05-22,哈尔滨,11.1,5.1,51,0.7,晴
2024-05-22,昆明,17.8,11.8,56,0.4,雪
2024-05-23,哈尔滨,6.2,0.2,67,1.1,晴
2024-05-23,哈尔滨,5.0,-1.0,56,2.3,小雨
2024-05-24,北京,20.4,14.4,61,0.4,阴
2024-05-24,北京,11.1,5.1,74,2.6,晴
2024-05-25,昆明,12.7,6.7,89,5.0,晴
2024-05-25,北京,9.7,3.7,74,0.9,多云
2024-05-26,哈尔滨,4.3,-1.7,75,1.5,小雨
2024-05-26,泸州,17.1,11.1,62,0.6,多云
2024-05-27,昆明,16.9,10.9,54,1.1,晴
2024-05-27,泸州,19.0,13.0,61,0.1,多云
2024-05-28,哈尔滨,5.8,-0.2,64,7.7,晴
2024-05-28,昆明,12.6,6.6,51,1.3,大雨
2024-05-29,泸州,18.2,12.2,74,3.9,阴
2024-05-29,昆明,15.3,9.3,83,0.4,晴
2024-05-30,哈尔滨,2.5,-3.5,66,4.2,晴
2024-05-30,昆明,13.4,7.4,78,4.9,晴
2024-05-31,哈尔滨,4.7,-1.3,79,3.1,小雨
2024-05-31,昆明,12.8,6.8,52,5.8,大雨
2024-06-01,昆明,12.9,6.9,44,0.5,晴
2024-06-01,北京,13.1,7.1,59,1.6,多云
2024-06-02,哈尔滨,2.3,-3.7,66,2.4,大雨
2024-06-02,广州,16.7,10.7,50,2.3,晴
2024-06-03,昆明,7.3,1.3,82,4.9,晴
2024-06-03,泸州,14.5,8.5,88,0.6,晴
2024-06-04,北京,7.0,1.0,67,0.5,晴
2024-06-04,北京,10.2,4.2,53,0.7,晴
2024-06-05,昆明,15.4,9.4,70,5.6,雪
2024-06-05,广州,14.4,8.4,53,7.1,多云
2024-06-06,北京,4.7,-1.3,78,2.1,晴
2024-06-06,哈尔滨,0.1,-5.9,62,1.7,多云
2024-06-07,昆明,7.6,1.6,73,2.3,阴
2024-06-07,昆明,9.2,3.2,75,2.4,多云
2024-06-08,广州,15.1,9.1,71,0.5,晴
2024-06-08,哈尔滨,-3.5,-9.5,86,2.9,晴
2024-06-09,哈尔滨,1.9,-4.1,67,1.5,阴
2024-06-09,广州,16.5,10.5,58,1.8,晴
2024-06-10,泸州,17.6,11.6,39,0.1,晴
2024-06-10,哈尔滨,0.1,-5.9,37,3.6,多云
2024-06-11,泸州,15.7,9.7,72,4.5,晴
2024-06-11,泸州,9.5,3.5,62,2.4,雪
2024-06-12,昆明,6.4,0.4,55,3.5,阴
2024-06-12,昆明,15.1,9.1,51,1.8,晴
2024-06-13,北京,3.5,-2.5,73,2.4,晴
2024-06-13,昆明,5.4,-0.6,53,1.3,多云
2024-06-14,哈尔滨,-5.4,-11.4,84,3.9,多云
2024-06-14,哈尔滨,3.7,-2.3,93,1.6,小雨
2024-06-15,泸州,10.1,4.1,54,2.9,多云
2024-06-15,哈尔滨,-1.0,-7.0,73,2.4,多云
2024-06-16,昆明,8.1,2.1,70,3.0,雪
2024-06-16,昆明,5.4,-0.6,53,3.8,多云
2024-06-17,昆明,6.6,0.6,53,1.8,多云
2024-06-17,广州,16.9,10.9,63,4.2,阴
2024-06-18,哈尔滨,-6.4,-12.4,51,1.7,小雨
2024-06-18,北京,6.2,0.2,78,7.8,阴
2024-06-19,哈尔滨,1.4,-4.6,62,3.5,阴
2024-06-19,哈尔滨,-2.1,-8.1,51,0.5,多云
2024-06-20,广州,17.9,11.9,63,4.4,多云
2024-06-20,哈尔滨,-7.3,-13.3,70,2.0,晴
2024-06-21,泸州,4.3,-1.7,56,10.4,阴
2024-06-21,昆明,7.4,1.4,41,3.2,晴
2024-06-22,昆明,4.9,-1.1,66,0.2,晴
2024-06-22,广州,16.2,10.2,50,1.3,大雨
2024-06-23,昆明,5.6,-0.4,55,1.8,晴
2024-06-23,泸州,9.9,3.9,70,4.6,晴
2024-06-24,广州,13.6,7.6,57,3.3,晴
2024-06-24,北京,3.7,-2.3,63,1.2,晴
2024-06-25,昆明,4.7,-1.3,82,2.6,多云
2024-06-25,哈尔滨,-7.8,-13.8,60,2.2,晴
2024-06-26,泸州,8.6,2.6,89,0.3,晴
2024-06-26,泸州,13.5,7.5,73,0.7,晴
2024-06-27,昆明,4.3,-1.7,53,1.0,晴
2024-06-27,北京,1.3,-4.7,59,0.5,晴
2024-06-28,哈尔滨,-3.4,-9.4,49,0.4,多云
2024-06-28,北京,-0.5,-6.5,72,0.1,晴
2024-06-29,北京,6.1,0.1,80,5.2,晴
2024-06-29,昆明,2.8,-3.2,60,0.9,大雨
2024-06-30,哈尔滨,-4.9,-10.9,42,0.9,大雨
2024-06-30,昆明,13.6,7.6,69,0.6,晴
2024-07-01,昆明,2.6,-3.4,54,1.6,晴
2024-07-01,泸州,13.4,7.4,56,1.8,多云
2024-07-02,昆明,6.4,0.4,68,0.6,阴
2024-07-02,广州,13.8,7.8,79,2.3,雪
2024-07-03,哈尔滨,-6.4,-12.4,73,3.2,多云
2024-07-03,泸州,11.4,5.4,70,1.2,阴
2024-07-04,哈尔滨,-5.1,-11.1,63,2.2,大雨
2024-07-04,泸州,5.6,-0.4,49,1.7,多云
2024-07-05,广州,17.5,11.5,69,0.5,晴
2024-07-05,昆明,5.0,-1.0,73,3.3,多云
2024-07-06,泸州,3.6,-2.4,57,4.0,晴
2024-07-06,泸州,8.4,2.4,60,2.6,晴
2024-07-07,泸州,11.6,5.6,78,1.0,小雨
2024-07-07,广州,15.2,9.2,60,6.5,晴
2024-07-08,哈尔滨,-5.6,-11.6,61,1.5,晴
2024-07-08,广州,10.4,4.4,63,0.8,大雨
2024-07-09,泸州,5.3,-0.7,72,1.3,多云
2024-07-09,泸州,9.4,3.4,68,2.9,晴
2024-07-10,昆明,7.0,1.0,67,4.7,晴
2024-07-10,广州,15.7,9.7,83,1.1,晴
2024-07-11,广州,13.2,7.2,60,0.7,晴
2024-07-11,北京,3.2,-2.8,53,2.5,小雨
2024-07-12,哈尔滨,-4.1,-10.1,77,6.4,晴
2024-07-12,北京,4.3,-1.7,67,0.5,多云
2024-07-13,北京,3.5,-2.5,57,4.1,晴
2024-07-13,哈尔滨,-0.2,-6.2,60,1.6,大雨
2024-07-14,昆明,8.0,2.0,49,4.0,阴
2024-07-14,昆明,7.5,1.5,67,1.8,大雨
2024-07-15,哈尔滨,-2.9,-8.9,47,1.2,多云
2024-07-15,哈尔滨,-5.5,-11.5,73,3.0,小雨
2024-07-16,广州,14.5,8.5,58,5.8,小雨
2024-07-16,广州,12.6,6.6,48,1.0,阴
2024-07-17,广州,15.7,9.7,78,1.5,晴
2024-07-17,广州,14.1,8.1,92,0.7,晴
2024-07-18,泸州,15.9,9.9,70,0.5,晴
2024-07-18,泸州,7.2,1.2,61,3.8,晴
2024-07-19,昆明,-1.2,-7.2,53,0.6,阴
2024-07-19,泸州,12.0,6.0,68,3.9,多云
2024-07-20,泸州,9.4,3.4,72,1.4,多云
2024-07-20,广州,16.0,10.0,65,13.3,晴
2024-07-21,广州,11.9,5.9,75,0.5,晴
2024-07-21,哈尔滨,4.5,-1.5,83,0.2,晴
2024-07-22,广州,14.7,8.7,49,0.2,多云
2024-07-22,哈尔滨,-3.1,-9.1,68,4.5,阴
2024-07-23,哈尔滨,4.8,-1.2,42,1.4,晴
2024-07-23,泸州,14.8,8.8,55,0.0,阴
2024-07-24,广州,20.6,14.6,73,5.2,多云
2024-07-24,泸州,12.1,6.1,64,5.2,大雨
2024-07-25,广州,16.9,10.9,45,4.1,晴
2024-07-25,泸州,11.1,5.1,77,0.7,多云
2024-07-26,泸州,10.9,4.9,58,1.2,晴
2024-07-26,泸州,14.4,8.4,75,3.4,晴
2024-07-27,昆明,9.2,3.2,71,1.7,多云
2024-07-27,泸州,20.2,14.2,55,0.4,阴
2024-07-28,北京,10.2,4.2,75,0.7,晴
2024-07-28,北京,13.5,7.5,68,9.0,晴
2024-07-29,北京,1.3,-4.7,67,0.4,阴
2024-07-29,哈尔滨,6.8,0.8,59,3.2,多云
2024-07-30,泸州,7.2,1.2,51,1.6,多云
2024-07-30,北京,4.7,-1.3,59,3.5,小雨
2024-07-31,哈尔滨,-3.6,-9.6,59,2.7,多云
2024-07-31,北京,9.6,3.6,75,1.4,阴
2024-08-01,广州,19.0,13.0,45,1.1,阴
2024-08-01,昆明,14.6,8.6,82,3.5,小雨
2024-08-02,泸州,15.1,9.1,83,1.0,阴
2024-08-02,昆明,16.3,10.3,57,3.9,晴
2024-08-03,昆明,10.0,4.0,81,2.8,晴
2024-08-03,广州,23.7,17.7,52,2.2,雪
2024-08-04,广州,20.0,14.0,78,1.2,晴
2024-08-04,广州,27.4,21.4,55,0.6,多云
2024-08-05,哈尔滨,6.1,0.1,77,3.1,小雨
2024-08-05,北京,9.8,3.8,47,0.2,多云
2024-08-06,泸州,16.8,10.8,77,8.8,多云
2024-08-06,广州,18.1,12.1,80,9.6,晴
2024-08-07,泸州,18.4,12.4,47,0.3,多云
2024-08-07,泸州,16.6,10.6,86,0.3,晴
2024-08-08,泸州,19.9,13.9,77,1.3,雪
2024-08-08,广州,17.9,11.9,41,8.3,阴
2024-08-09,广州,21.1,15.1,59,1.3,阴
2024-08-09,北京,8.8,2.8,77,1.1,多云
2024-08-10,广州,19.2,13.2,73,3.0,晴
2024-08-10,广州,24.5,18.5,66,0.5,晴
2024-08-11,泸州,22.3,16.3,76,1.1,晴
2024-08-11,北京,6.1,0.1,54,0.9,多云
2024-08-12,昆明,21.9,15.9,65,2.3,多云
2024-08-12,广州,27.7,21.7,54,0.4,多云
2024-08-13,广州,19.7,13.7,66,2.0,多云
2024-08-13,昆明,19.4,13.4,77,4.9,雪
2024-08-14,泸州,18.7,12.7,74,1.8,晴
2024-08-14,北京,14.0,8.0,67,2.9,阴
2024-08-15,泸州,22.3,16.3,76,0.2,晴
2024-08-15,哈尔滨,9.2,3.2,78,1.5,多云
2024-08-16,广州,23.2,17.2,86,0.2,晴
2024-08-16,哈尔滨,6.4,0.4,79,2.3,多云
2024-08-17,广州,23.8,17.8,72,0.8,晴
2024-08-17,哈尔滨,12.0,6.0,76,0.8,晴
2024-08-18,昆明,13.2,7.2,67,0.2,小雨
2024-08-18,广州,25.5,19.5,61,0.9,晴
2024-08-19,广州,30.9,24.9,75,1.8,多云
2024-08-19,哈尔滨,11.5,5.5,74,2.2,多云
2024-08-20,北京,19.7,13.7,68,0.2,多云
2024-08-20,哈尔滨,9.4,3.4,62,2.6,阴
2024-08-21,广州,23.5,17.5,61,1.7,多云
2024-08-21,广州,27.4,21.4,60,1.9,晴
2024-08-22,北京,15.3,9.3,80,4.5,晴
2024-08-22,泸州,30.3,24.3,79,1.0,小雨
2024-08-23,北京,17.3,11.3,78,0.5,多云
2024-08-23,泸州,25.9,19.9,52,2.0,大雨
2024-08-24,广州,33.3,27.3,60,7.3,多云
2024-08-24,昆明,18.1,12.1,61,1.8,阴
2024-08-25,昆明,14.8,8.8,57,4.5,大雨
2024-08-25,哈尔滨,13.3,7.3,87,3.5,阴
2024-08-26,北京,21.0,15.0,69,1.8,多云
2024-08-26,北京,18.0,12.0,68,2.6,多云
2024-08-27,昆明,18.9,12.9,59,1.3,多云
2024-08-27,泸州,26.5,20.5,75,1.9,多云
2024-08-28,北京,19.7,13.7,91,1.8,晴
2024-08-28,泸州,26.9,20.9,65,3.1,阴
2024-08-29,泸州,22.7,16.7,62,1.3,晴
2024-08-29,泸州,27.3,21.3,63,0.3,晴
2024-08-30,泸州,29.0,23.0,61,3.9,阴
2024-08-30,哈尔滨,9.2,3.2,64,2.9,晴
