面积_平米,房间数,楼层,房龄_年,距市中心_km,是否近地铁,是否学区房,城市,房价_万元
113,2,19,18,8.6,0,1,杭州,183.7
146,1,13,15,7.4,1,1,北京,192.9
163,2,22,20,14.1,0,1,上海,215.1
139,3,8,1,18.4,1,1,北京,233.0
82,2,22,9,13.6,1,0,广州,146.7
158,1,18,15,23.3,0,1,成都,221.0
62,1,29,36,23.8,0,1,杭州,74.1
194,3,23,14,9.4,0,1,广州,271.6
76,1,2,12,19.6,1,1,上海,97.2
173,3,18,12,18.6,0,1,上海,255.0
104,3,18,31,22.4,0,1,广州,136.0
173,1,11,7,11.5,1,1,成都,248.1
61,5,1,17,13.5,0,1,成都,122.7
144,3,14,35,10.7,1,1,深圳,179.7
127,1,16,25,21.3,1,1,北京,161.4
192,5,11,9,6.1,1,0,深圳,301.6
164,3,1,30,6.4,1,0,成都,233.7
118,5,7,32,9.6,0,0,广州,182.9
129,4,29,28,6.1,1,0,北京,213.5
90,4,16,4,14.2,1,1,广州,158.5
141,5,14,12,3.8,1,1,深圳,238.7
145,3,15,0,8.3,0,0,上海,207.6
99,1,14,22,22.9,1,1,广州,151.5
85,2,28,39,10.5,0,1,深圳,116.5
75,1,21,2,18.8,1,1,深圳,98.5
50,2,11,2,3.3,1,1,深圳,115.7
51,2,16,6,6.6,0,1,上海,110.6
78,3,19,35,20.3,1,1,上海,147.2
178,5,17,34,19.2,1,0,上海,256.6
75,1,27,14,10.0,1,0,北京,93.7
91,5,26,39,23.9,1,0,上海,134.7
70,4,6,2,22.8,1,0,上海,134.3
72,3,11,28,24.1,1,1,上海,132.3
180,3,17,29,11.0,0,1,广州,254.1
185,4,9,38,5.3,1,1,上海,272.9
97,1,18,17,15.9,0,1,北京,144.9
191,4,17,10,17.3,1,0,深圳,264.3
167,1,12,37,3.6,1,1,广州,236.1
70,2,23,39,19.8,1,1,成都,118.9
94,3,22,0,0.9,1,0,上海,179.5
49,1,22,28,12.3,1,0,深圳,84.5
169,5,5,9,8.6,1,1,深圳,285.3
54,5,11,27,18.6,1,1,广州,104.0
42,3,4,30,8.2,1,1,成都,98.5
82,4,27,18,20.8,1,1,杭州,134.0
198,4,4,2,15.1,1,1,北京,296.2
106,1,3,35,20.0,0,0,杭州,100.2
95,4,26,14,24.7,1,0,深圳,154.5
102,3,24,32,17.1,1,1,杭州,130.8
54,1,23,25,24.6,1,1,深圳,92.0
148,2,25,15,1.2,1,1,杭州,232.1
155,4,17,35,8.8,1,1,深圳,267.2
131,4,7,32,3.1,1,1,深圳,214.0
177,1,26,19,6.9,1,1,广州,247.9
86,5,4,12,21.1,0,1,成都,158.3
96,4,23,32,1.3,1,1,深圳,174.7
89,3,13,4,13.2,1,0,北京,154.7
110,4,12,36,14.4,0,1,北京,178.5
182,2,1,13,14.2,1,1,上海,256.7
185,4,21,26,12.1,1,1,深圳,293.8
121,5,19,22,19.9,1,0,深圳,164.1
155,4,21,13,3.8,1,1,深圳,278.8
144,1,20,39,8.1,1,1,杭州,173.4
127,4,18,3,15.6,1,1,深圳,234.6
41,5,11,38,17.4,1,1,深圳,71.8
143,1,20,18,10.4,1,0,北京,224.9
123,3,3,3,21.9,1,1,成都,197.6
82,1,29,29,10.7,1,1,成都,114.0
193,2,17,18,10.4,1,1,上海,303.2
110,1,12,30,1.4,1,0,北京,142.3
133,3,10,30,14.0,1,0,深圳,186.2
81,4,8,8,17.9,1,1,成都,193.4
172,1,15,12,3.3,1,1,广州,258.0
178,1,5,13,8.0,1,1,广州,223.7
104,1,4,9,19.6,1,0,广州,139.6
73,1,26,30,9.5,1,1,深圳,112.7
159,3,28,36,6.4,1,1,深圳,240.2
40,5,21,22,17.0,1,0,上海,94.3
169,5,20,26,5.3,1,1,上海,279.7
187,1,19,5,22.4,1,1,上海,231.6
100,3,21,25,3.1,0,1,杭州,152.2
188,3,4,1,17.8,1,0,广州,271.0
127,1,15,12,12.7,1,1,深圳,177.3
107,2,17,18,21.8,1,0,广州,165.0
166,1,12,0,3.6,1,0,上海,227.5
179,2,3,39,17.1,1,0,深圳,231.3
61,1,10,31,14.5,1,1,北京,96.6
187,2,15,21,12.3,1,0,成都,237.4
121,2,10,28,12.5,0,1,成都,167.6
168,1,24,1,18.2,1,0,上海,206.2
69,2,23,39,23.5,1,0,广州,84.1
165,4,18,37,2.7,1,1,北京,256.3
136,5,1,10,1.0,0,0,深圳,195.8
63,3,3,16,20.2,0,1,广州,112.8
53,2,21,7,3.2,1,0,上海,111.8
75,2,26,21,24.7,0,0,广州,98.8
63,3,27,3,15.7,0,0,上海,102.4
134,2,12,10,16.4,0,1,杭州,170.1
94,3,1,7,5.4,1,0,成都,162.9
63,1,3,8,6.4,1,1,成都,129.5
191,4,3,25,16.7,0,1,广州,246.1
65,4,5,1,22.8,0,1,北京,102.0
119,5,19,15,24.6,1,1,深圳,194.0
104,2,29,30,5.4,1,1,上海,161.8
114,5,25,5,3.8,0,1,深圳,202.3
82,1,1,20,1.9,1,0,成都,125.1
68,4,4,25,21.8,1,0,北京,116.7
120,1,29,18,7.7,1,0,北京,188.6
93,1,29,27,0.5,1,0,深圳,148.7
78,2,26,7,6.0,1,0,成都,135.9
81,1,26,13,8.8,1,1,深圳,120.3
195,4,4,23,24.8,1,1,广州,265.9
68,5,17,36,13.3,1,1,北京,149.9
170,4,14,25,5.5,1,0,北京,246.0
177,2,18,30,8.7,1,0,广州,225.2
181,4,27,31,8.6,1,1,成都,303.6
81,3,1,1,1.0,1,1,北京,189.6
133,5,22,24,3.8,0,1,杭州,213.9
199,3,16,1,17.5,1,1,杭州,275.6
71,3,3,0,3.4,0,1,杭州,148.7
199,2,23,35,6.2,0,1,上海,255.7
65,1,21,11,9.1,0,0,上海,104.7
154,3,9,8,19.1,1,1,成都,225.4
168,4,23,35,14.8,0,1,广州,258.0
95,1,4,27,17.4,1,0,深圳,118.3
161,4,21,37,14.4,1,1,成都,274.8
145,4,5,32,17.2,1,1,深圳,222.7
169,1,11,21,0.6,1,1,成都,267.5
120,1,21,24,23.3,1,0,上海,143.6
197,4,26,17,3.2,1,1,杭州,284.0
159,2,9,5,10.5,1,1,广州,206.2
91,5,26,17,19.4,1,1,上海,187.4
130,5,3,15,11.2,1,0,广州,213.3
176,2,6,14,23.7,1,1,深圳,224.8
61,1,24,7,12.0,1,1,成都,132.5
73,4,11,12,21.9,0,0,北京,129.0
149,5,9,6,20.4,1,0,北京,251.1
88,4,29,16,24.5,1,1,广州,132.0
168,2,15,31,23.2,1,1,杭州,244.6
112,4,23,21,22.5,1,0,杭州,174.2
123,2,28,12,18.4,1,1,广州,207.6
92,1,3,22,9.5,1,1,上海,153.0
139,2,1,28,3.1,0,0,北京,188.3
163,2,20,21,17.4,0,1,上海,234.6
84,5,29,0,24.5,0,0,深圳,149.1
176,4,22,28,18.3,1,1,北京,274.1
144,5,19,4,23.3,1,1,深圳,227.2
189,3,14,34,20.2,1,1,成都,258.0
185,2,17,9,4.5,1,0,上海,238.0
145,3,22,18,6.6,1,0,广州,209.0
82,5,14,36,8.9,1,1,北京,170.4
173,4,17,6,4.6,1,1,上海,287.5
87,5,25,34,14.8,1,1,广州,144.9
165,4,27,12,24.4,1,1,成都,265.8
46,4,14,9,19.2,0,1,北京,140.1
55,1,12,1,10.9,1,0,深圳,84.1
168,2,16,5,0.6,1,0,成都,246.4
154,5,1,7,8.2,0,0,杭州,223.8
76,4,13,35,13.4,1,1,广州,137.9
164,5,6,24,8.4,1,0,北京,255.5
120,5,17,39,3.2,1,0,北京,185.8
101,4,12,6,11.3,0,1,成都,166.7
111,3,23,22,6.7,1,0,北京,175.8
164,2,19,18,22.8,1,1,广州,235.1
105,2,6,21,3.0,0,0,成都,170.5
69,1,7,12,1.7,1,0,深圳,117.9
59,1,1,20,0.6,0,1,成都,91.8
121,1,1,0,8.5,0,0,成都,175.1
146,2,29,18,16.7,0,1,深圳,203.5
191,3,5,32,18.4,0,1,杭州,247.9
171,2,6,3,11.6,1,0,广州,250.4
76,2,16,2,17.3,0,0,杭州,103.2
171,2,25,26,9.3,1,1,杭州,237.9
116,2,16,34,16.9,1,0,杭州,127.8
128,3,14,27,1.5,1,0,上海,192.7
185,1,1,5,10.1,1,1,杭州,238.0
127,5,13,5,19.9,1,1,上海,207.4
72,1,20,22,20.2,1,1,深圳,118.9
97,1,10,32,18.0,0,1,广州,99.8
67,5,24,15,5.5,1,1,杭州,151.6
74,2,10,23,6.6,1,0,北京,122.7
164,3,9,4,24.9,1,1,深圳,237.3
177,3,13,12,3.0,0,1,上海,252.2
104,1,3,11,4.9,1,0,广州,162.3
81,5,27,4,3.7,1,1,成都,185.5
124,4,18,36,8.5,1,0,广州,189.3
176,2,20,30,5.6,1,0,广州,235.2
150,1,2,27,12.7,0,1,杭州,206.8
54,3,17,27,12.2,1,1,杭州,90.4
108,5,28,29,22.6,0,0,上海,162.8
144,5,19,17,1.4,0,0,上海,229.2
189,1,23,26,8.3,1,1,杭州,263.5
103,4,13,34,15.1,0,1,杭州,155.4
80,3,13,25,15.3,0,1,北京,95.9
110,1,1,38,12.3,0,1,北京,161.5
95,4,2,17,20.5,1,0,深圳,164.6
190,5,1,32,2.0,1,0,杭州,270.6
64,2,24,24,20.5,1,1,成都,118.7
144,3,5,30,12.6,1,1,北京,219.0
173,3,24,36,3.8,0,0,上海,221.1
158,4,3,1,22.2,1,0,广州,251.8
48,1,29,32,16.4,1,1,深圳,73.7
99,5,28,38,4.5,1,1,北京,202.6
164,4,7,31,1.3,0,1,广州,252.0
88,2,24,17,4.0,0,0,广州,143.4
90,2,22,16,15.4,1,1,北京,156.3
109,2,13,33,4.9,1,1,成都,180.4
76,4,29,38,6.0,1,1,成都,148.4
70,5,23,6,1.1,1,1,深圳,156.0
101,3,28,34,18.2,0,1,成都,142.9
132,1,18,29,20.4,1,1,深圳,192.2
53,3,24,11,20.0,1,1,上海,119.9
118,5,21,34,3.6,0,1,北京,200.5
47,3,7,10,22.6,0,1,广州,53.4
193,4,1,3,17.0,0,1,深圳,273.9
75,2,5,24,22.5,0,1,成都,98.7
87,5,17,31,11.5,1,1,深圳,147.9
124,5,28,19,11.2,1,1,杭州,228.7
67,3,29,30,19.7,1,1,深圳,86.3
90,4,8,3,2.8,1,1,成都,195.2
143,3,15,37,13.3,1,1,杭州,230.7
140,3,20,0,21.0,1,1,杭州,214.9
68,5,4,2,20.8,0,1,成都,130.7
166,3,2,36,23.9,1,0,杭州,230.8
121,2,5,21,17.6,1,1,北京,168.6
49,3,1,16,5.6,0,0,广州,99.1
145,2,25,13,1.0,1,0,北京,203.7
40,5,5,34,12.2,1,1,北京,87.5
78,4,6,12,13.1,1,0,成都,145.9
60,2,2,34,6.4,0,0,成都,84.2
104,4,26,1,3.6,1,0,广州,161.9
54,4,26,12,14.9,1,0,深圳,132.1
171,2,1,15,19.2,0,1,北京,220.3
100,5,4,17,24.8,0,1,杭州,166.4
187,1,7,6,19.1,1,1,广州,281.4
177,4,22,35,19.9,0,0,北京,230.7
126,4,26,29,15.6,1,0,深圳,207.2
144,5,1,6,24.7,1,0,杭州,207.2
73,5,1,14,16.2,0,1,北京,157.7
163,3,8,39,21.6,0,1,上海,198.1
149,5,20,18,23.7,1,1,广州,224.5
72,4,16,36,23.3,0,1,成都,87.3
137,2,21,1,9.8,0,1,北京,206.1
100,1,13,12,2.4,1,1,杭州,176.1
49,3,23,39,4.7,1,1,杭州,117.1
123,2,24,30,2.0,1,0,广州,160.1
104,1,26,15,3.1,0,0,广州,147.8
116,1,23,5,5.0,1,1,杭州,192.9
40,1,18,27,8.9,1,1,杭州,89.8
172,2,20,31,13.8,1,1,杭州,228.5
119,3,10,9,17.9,1,1,北京,153.8
54,3,12,17,5.7,0,0,杭州,105.2
67,1,1,3,17.0,1,1,成都,114.7
62,2,10,8,17.8,1,1,杭州,119.8
148,1,9,6,14.2,1,0,成都,202.0
146,5,3,7,22.6,1,1,北京,239.6
184,3,28,6,3.2,1,0,广州,284.7
152,4,19,39,4.8,0,0,成都,182.2
137,1,26,2,11.0,1,1,北京,224.5
180,5,9,16,3.6,0,1,杭州,273.7
181,3,10,1,14.4,1,0,北京,285.7
178,2,19,14,10.3,1,0,杭州,240.4
67,3,16,28,7.5,1,1,北京,119.7
81,2,24,21,4.7,0,0,广州,115.8
138,2,18,3,8.7,1,1,成都,225.9
100,1,14,5,15.4,1,1,广州,153.0
162,1,29,37,14.6,1,0,上海,212.9
103,3,3,25,4.5,0,1,杭州,156.8
70,5,2,10,3.6,1,1,成都,162.9
120,3,1,25,1.2,0,1,广州,219.8
49,4,18,16,0.8,0,0,成都,107.4
47,2,24,23,22.1,0,0,上海,65.4
188,2,9,27,1.6,0,1,深圳,236.4
98,1,13,34,18.4,1,1,杭州,157.5
69,5,2,30,21.9,1,0,杭州,136.9
184,1,7,12,2.9,1,0,北京,244.2
59,4,16,34,11.2,0,1,杭州,122.3
87,3,21,15,24.1,1,1,杭州,148.7
169,3,19,14,20.9,1,0,广州,234.6
76,5,25,17,12.5,0,1,杭州,161.6
168,1,15,36,19.2,1,0,杭州,199.7
171,1,22,26,20.9,1,1,上海,215.5
139,4,11,34,9.0,1,1,上海,222.9
93,3,1,34,22.4,1,1,成都,151.1
161,1,21,27,12.0,1,0,成都,225.2
64,5,7,38,13.4,0,1,杭州,114.1
170,3,20,37,25.0,1,0,杭州,206.8
48,4,8,8,21.2,0,0,北京,122.3
73,5,10,11,9.4,1,1,成都,143.4
82,2,5,14,0.8,1,1,广州,154.4
113,4,9,20,15.8,1,0,杭州,188.5
133,5,25,34,17.7,1,0,广州,217.2
61,1,25,32,16.4,1,1,杭州,87.3
109,2,1,18,24.2,0,1,广州,117.5
169,4,2,22,21.6,1,0,深圳,228.3
133,1,19,12,11.5,1,1,广州,210.0
71,2,14,0,2.0,1,1,成都,155.8
145,3,20,28,12.2,1,1,杭州,228.9
183,1,10,23,17.4,0,1,成都,241.4
40,5,9,15,15.4,0,0,广州,105.2
111,4,10,24,13.7,1,1,上海,174.9
89,2,29,22,12.0,1,1,上海,128.8
180,1,6,27,7.7,0,1,上海,240.4
54,3,17,15,7.3,1,1,杭州,105.3
92,4,28,37,12.8,1,1,北京,139.2
47,4,25,10,4.4,0,0,深圳,117.4
113,1,6,2,8.8,1,0,广州,172.6
85,3,4,14,8.4,1,0,北京,146.0
108,2,20,0,14.9,1,1,上海,178.4
153,1,3,6,2.1,1,1,广州,231.9
186,2,23,0,20.8,1,1,北京,283.7
162,4,19,31,14.3,1,0,成都,208.9
178,2,18,8,16.9,0,1,上海,217.4
156,3,26,28,17.7,0,1,北京,197.5
82,5,24,25,7.6,1,1,杭州,169.6
59,3,4,22,12.0,1,0,成都,133.9
187,2,8,28,23.9,0,0,上海,235.5
60,1,17,37,19.3,1,1,深圳,98.1
121,4,5,32,24.3,0,1,上海,167.7
96,5,13,6,18.8,1,0,杭州,148.4
113,1,25,11,4.8,0,1,深圳,173.0
137,1,1,30,2.1,1,0,深圳,220.7
193,3,27,31,14.7,1,1,深圳,268.8
197,2,13,19,9.3,0,1,广州,257.2
149,3,4,16,7.2,1,0,广州,219.1
154,2,22,35,20.3,1,1,深圳,219.0
198,3,26,2,9.5,1,0,成都,287.8
81,1,24,0,8.3,0,0,深圳,130.6
107,4,14,26,21.3,1,1,北京,172.6
109,2,3,39,21.2,0,0,深圳,122.5
117,5,5,32,9.2,1,0,广州,193.6
129,5,7,19,20.9,1,0,广州,191.3
150,1,1,13,21.3,1,0,北京,221.3
151,3,23,35,10.9,1,0,北京,224.1
142,3,29,4,2.1,0,0,上海,193.8
184,1,12,22,0.5,0,1,成都,238.1
58,5,11,14,13.3,1,0,成都,132.8
109,5,24,5,8.9,0,1,成都,194.1
102,3,8,32,24.9,0,0,杭州,130.0
114,2,25,18,19.4,1,0,广州,156.5
197,4,6,12,19.2,0,0,成都,270.0
192,2,28,28,23.9,1,1,上海,253.0
143,5,22,5,22.2,0,1,上海,227.4
114,2,2,14,8.3,1,1,成都,196.1
167,4,19,15,4.6,1,0,北京,279.4
193,2,20,23,18.8,1,1,上海,256.6
95,2,20,22,9.8,0,0,北京,129.0
61,2,24,9,12.1,1,0,广州,89.3
128,2,14,16,15.9,1,1,杭州,220.1
58,1,1,29,22.7,1,0,上海,45.8
198,5,10,9,10.8,1,1,北京,334.5
65,4,16,18,19.7,1,0,成都,117.7
62,5,4,28,7.1,0,1,广州,131.6
86,1,27,1,17.6,1,1,深圳,137.6
52,1,28,35,0.5,1,1,深圳,99.9
105,1,29,18,21.9,1,0,成都,146.9
183,1,11,6,1.2,0,0,广州,218.9
112,2,16,25,18.0,1,1,广州,157.1
195,5,27,14,1.6,1,0,广州,287.7
116,3,20,37,7.0,0,1,广州,176.4
70,4,1,2,12.7,0,1,深圳,134.4
124,1,16,37,10.8,0,0,北京,156.8
199,5,19,15,5.2,1,1,广州,315.6
98,1,21,1,8.7,0,1,北京,164.3
80,1,22,30,18.3,1,0,广州,94.6
151,1,9,27,16.9,1,0,上海,194.7
135,1,9,6,2.3,1,1,杭州,228.3
161,1,9,29,18.8,1,0,上海,216.5
195,4,27,6,1.8,0,1,杭州,271.0
144,5,17,35,13.8,1,0,上海,201.2
113,1,12,28,6.9,1,1,广州,168.5
171,1,25,23,14.9,0,0,北京,203.3
138,1,13,38,6.9,0,1,杭州,178.7
165,1,8,3,24.6,1,1,深圳,238.8
177,2,16,28,8.1,1,0,成都,245.6
114,2,18,4,6.4,1,0,杭州,184.6
53,3,29,28,7.3,0,1,杭州,108.4
77,1,27,29,22.5,1,1,深圳,126.5
179,3,1,28,16.1,0,0,广州,182.9
84,4,1,25,18.4,1,1,上海,143.1
184,3,12,18,23.0,1,0,上海,234.6
114,5,6,25,22.8,1,0,北京,183.6
68,2,9,36,18.6,0,1,广州,86.1
57,2,23,26,5.3,1,1,深圳,114.2
59,1,5,29,21.2,0,0,广州,75.9
53,1,27,29,5.5,1,1,广州,89.6
93,4,16,2,18.7,1,0,上海,164.3
70,4,18,6,17.3,0,1,深圳,151.0
97,5,17,8,19.1,1,1,成都,192.8
143,1,18,12,13.6,1,1,杭州,183.2
167,1,1,14,16.1,1,1,上海,227.9
197,4,19,4,23.9,1,0,深圳,282.8
64,4,22,28,3.0,1,1,北京,147.1
58,4,29,34,8.1,1,1,杭州,119.7
175,2,8,26,15.5,0,0,杭州,207.9
42,3,3,26,24.1,1,1,上海,85.3
125,3,26,7,2.8,1,0,北京,186.4
184,1,25,31,1.1,1,1,上海,275.7
181,2,26,19,1.9,1,0,广州,284.8
48,4,5,9,1.8,1,0,深圳,124.2
133,1,23,12,22.7,0,0,北京,155.4
188,2,8,28,18.2,0,1,杭州,255.5
178,5,19,34,17.1,1,1,上海,278.1
59,2,18,7,13.3,1,0,杭州,100.9
74,1,18,28,19.7,1,0,北京,97.4
92,3,21,30,4.3,1,0,杭州,141.0
149,4,1,29,10.1,0,1,上海,220.7
175,5,15,21,12.5,1,1,上海,278.5
43,2,18,20,3.2,1,0,成都,77.7
194,1,29,11,10.8,1,0,杭州,243.4
141,1,25,10,8.3,1,1,成都,191.0
86,4,7,1,1.4,1,0,成都,174.5
133,1,16,1,3.9,1,0,杭州,198.0
87,1,16,33,19.2,1,0,北京,110.4
130,4,15,2,0.9,1,1,广州,240.1
123,5,6,15,23.4,1,1,上海,190.2
107,3,9,3,2.6,1,1,深圳,179.2
178,3,7,22,20.1,1,0,成都,245.1
164,2,14,19,22.5,1,1,北京,201.9
112,5,11,24,23.6,1,0,杭州,169.9
43,2,21,29,21.8,1,1,北京,115.3
115,3,16,17,7.5,0,1,北京,157.8
112,4,25,10,8.7,1,1,杭州,193.3
116,1,6,28,11.0,1,0,深圳,125.4
87,3,22,16,3.9,1,0,杭州,148.0
193,5,27,25,1.0,1,1,深圳,334.6
141,3,16,22,21.8,0,1,杭州,199.4
145,5,20,19,14.1,0,0,成都,201.2
116,5,29,1,15.4,0,1,深圳,228.0
78,5,16,23,23.2,1,1,成都,119.8
97,2,12,30,16.8,1,1,深圳,154.4
58,4,17,26,17.4,1,1,深圳,119.2
127,3,5,1,19.8,1,0,杭州,187.4
152,4,27,13,3.4,1,0,深圳,251.6
116,1,25,3,9.3,0,0,成都,138.7
116,3,13,12,24.2,0,1,杭州,169.7
67,4,8,35,23.1,1,0,上海,109.6
105,4,24,34,22.2,1,1,成都,152.7
49,1,5,7,11.6,1,0,上海,115.9
165,5,12,1,21.5,1,0,北京,248.3
97,3,9,5,1.7,1,1,杭州,181.1
181,3,3,30,4.1,0,0,北京,226.7
164,1,3,9,10.6,1,0,杭州,222.2
151,5,1,20,12.3,1,1,杭州,280.9
123,3,25,9,7.0,1,0,成都,191.3
182,3,22,22,9.2,0,0,上海,250.0
135,3,18,2,4.5,1,0,杭州,229.8
72,5,24,31,12.5,1,1,上海,142.7
184,1,12,19,19.9,0,1,杭州,225.3
191,3,9,9,16.7,1,1,上海,286.1
197,4,9,28,3.1,0,0,北京,267.7
180,5,18,33,12.4,1,0,成都,257.1
86,2,18,36,17.6,1,1,杭州,144.7
