订单号,用户ID,商品类别,单价,数量,支付方式,评分,销售额,日期
ORD0000049,1790,图书,1869.3,4,支付宝,4,7477.2,2025-01-13
ORD0000050,4569,美妆,1818.39,2,银行卡,5,3636.78,2025-01-13
ORD0000051,4611,食品,1640.22,1,支付宝,2,1640.22,2025-01-13
ORD0000052,1746,图书,1776.6,5,微信,3,8883.0,2025-01-13
ORD0000053,3414,服装,406.17,1,支付宝,2,406.17,2025-01-14
ORD0000054,1312,食品,575.17,5,微信,3,2875.85,2025-01-14
ORD0000055,1537,运动,584.69,3,微信,4,1754.07,2025-01-14
ORD0000056,1920,美妆,759.9,1,支付宝,5,759.9,2025-01-14
ORD0000057,2077,食品,792.25,4,微信,2,3169.0,2025-01-15
ORD0000058,4612,数码,1093.07,2,微信,4,2186.14,2025-01-15
ORD0000059,2490,食品,327.92,4,支付宝,3,1311.68,2025-01-15
ORD0000060,3912,服装,1384.86,2,银行卡,2,2769.72,2025-01-15
ORD0000061,4235,数码,343.21,1,支付宝,2,343.21,2025-01-16
ORD0000062,3829,家居,627.13,1,微信,4,627.13,2025-01-16
ORD0000063,3381,美妆,1011.1,2,微信,2,2022.2,2025-01-16
ORD0000064,4618,美妆,1594.1,3,微信,5,4782.3,2025-01-16
ORD0000065,1797,食品,1480.78,5,支付宝,5,7403.9,2025-01-17
ORD0000066,1347,图书,1293.93,4,支付宝,4,5175.72,2025-01-17
ORD0000067,1272,数码,319.75,4,微信,3,1279.0,2025-01-17
ORD0000068,4010,家居,1098.03,4,微信,4,4392.12,2025-01-17
ORD0000069,1719,数码,183.84,1,银行卡,5,183.84,2025-01-18
ORD0000070,2773,美妆,760.51,4,微信,1,3042.04,2025-01-18
ORD0000071,4485,数码,832.43,5,支付宝,1,4162.15,2025-01-18
ORD0000072,3547,家居,89.09,5,支付宝,2,445.45,2025-01-18
ORD0000073,4164,图书,554.89,2,支付宝,2,1109.78,2025-01-19
ORD0000074,1684,食品,1910.78,1,支付宝,1,1910.78,2025-01-19
ORD0000075,3126,服装,1906.77,5,支付宝,5,9533.85,2025-01-19
ORD0000076,1621,数码,710.71,3,支付宝,2,2132.13,2025-01-19
ORD0000077,3039,服装,95.63,1,支付宝,4,95.63,2025-01-20
ORD0000078,4288,美妆,366.14,1,支付宝,4,366.14,2025-01-20
ORD0000079,1946,食品,790.06,5,支付宝,5,3950.3,2025-01-20
ORD0000080,3405,运动,1895.13,3,支付宝,2,5685.39,2025-01-20
ORD0000081,3665,食品,290.76,2,支付宝,4,581.52,2025-01-21
ORD0000082,1506,数码,1528.61,5,支付宝,2,7643.05,2025-01-21
ORD0000083,2582,图书,226.08,3,微信,2,678.24,2025-01-21
ORD0000084,4252,食品,1961.72,1,支付宝,4,1961.72,2025-01-21
ORD0000085,3623,数码,768.97,3,支付宝,1,2306.91,2025-01-22
ORD0000086,4317,数码,1551.92,1,支付宝,4,1551.92,2025-01-22
ORD0000087,1243,服装,691.35,5,支付宝,5,3456.75,2025-01-22
ORD0000088,1505,食品,1258.4,5,支付宝,3,6292.0,2025-01-22
ORD0000089,1421,数码,391.84,4,微信,4,1567.36,2025-01-23
ORD0000090,4391,服装,300.35,4,微信,2,1201.4,2025-01-23
ORD0000091,4158,家居,1875.8,4,支付宝,2,7503.2,2025-01-23
ORD0000092,3264,运动,1835.19,5,支付宝,4,9175.95,2025-01-23
ORD0000093,4561,服装,1775.16,2,银行卡,3,3550.32,2025-01-24
ORD0000094,4590,服装,1253.95,5,支付宝,4,6269.75,2025-01-24
ORD0000095,4349,数码,1617.63,3,支付宝,3,4852.89,2025-01-24
ORD0000096,2872,美妆,147.22,5,银行卡,3,736.1,2025-01-24
ORD0000097,4793,美妆,675.83,5,银行卡,5,3379.15,2025-01-25
ORD0000098,4056,图书,633.89,1,支付宝,2,633.89,2025-01-25
ORD0000099,2192,美妆,1274.26,1,微信,2,1274.26,2025-01-25
ORD0000100,1329,服装,717.94,1,支付宝,3,717.94,2025-01-25
ORD0000101,1649,图书,305.29,5,支付宝,2,1526.45,2025-01-26
ORD0000102,2464,数码,1196.33,2,微信,1,2392.66,2025-01-26
ORD0000103,1390,食品,1629.79,3,支付宝,3,4889.37,2025-01-26
ORD0000104,2519,运动,769.98,3,支付宝,2,2309.94,2025-01-26
ORD0000105,1380,运动,273.0,2,银行卡,1,546.0,2025-01-27
ORD0000106,4377,服装,401.13,2,货到付款,5,802.26,2025-01-27
ORD0000107,1741,服装,482.28,3,支付宝,2,1446.84,2025-01-27
ORD0000108,3010,图书,606.43,4,微信,1,2425.72,2025-01-27
ORD0000109,1819,数码,1288.48,1,微信,4,1288.48,2025-01-28
ORD0000110,1672,家居,1205.24,1,银行卡,4,1205.24,2025-01-28
ORD0000111,3560,服装,1394.47,3,支付宝,1,4183.41,2025-01-28
ORD0000112,2771,家居,730.95,2,支付宝,3,1461.9,2025-01-28
ORD0000113,3996,家居,1648.91,4,支付宝,3,6595.64,2025-01-29
ORD0000114,2211,美妆,415.85,3,支付宝,2,1247.55,2025-01-29
ORD0000115,1929,数码,942.87,1,支付宝,4,942.87,2025-01-29
ORD0000116,2539,运动,1603.05,5,微信,3,8015.25,2025-01-29
ORD0000117,1912,运动,368.25,2,微信,3,736.5,2025-01-30
ORD0000118,1643,家居,228.43,5,支付宝,4,1142.15,2025-01-30
ORD0000119,1426,运动,1767.64,3,微信,5,5302.92,2025-01-30
ORD0000120,1501,数码,692.02,1,支付宝,3,692.02,2025-01-30
ORD0000121,1729,美妆,1370.19,4,银行卡,1,5480.76,2025-01-31
ORD0000122,2283,数码,60.32,5,银行卡,2,301.6,2025-01-31
ORD0000123,4584,服装,1382.47,4,货到付款,3,5529.88,2025-01-31
ORD0000124,3118,家居,638.66,1,银行卡,3,638.66,2025-01-31
ORD0000125,3525,数码,120.77,5,支付宝,5,603.85,2025-02-01
ORD0000126,4249,运动,1222.88,4,支付宝,1,4891.52,2025-02-01
ORD0000127,1456,食品,488.88,4,微信,2,1955.52,2025-02-01
ORD0000128,3236,数码,779.3,5,银行卡,3,3896.5,2025-02-01
ORD0000129,1290,家居,170.18,1,支付宝,2,170.18,2025-02-02
ORD0000130,4591,美妆,302.62,4,支付宝,4,1210.48,2025-02-02
ORD0000131,4836,运动,602.61,3,银行卡,3,1807.83,2025-02-02
ORD0000132,1919,美妆,188.44,5,支付宝,3,942.2,2025-02-02
ORD0000133,3339,家居,1821.62,2,支付宝,4,3643.24,2025-02-03
ORD0000134,2969,运动,21.93,2,微信,5,43.86,2025-02-03
ORD0000135,1755,服装,972.35,1,支付宝,3,972.35,2025-02-03
ORD0000136,2658,运动,255.05,3,支付宝,2,765.15,2025-02-03
ORD0000137,2834,服装,621.9,4,微信,1,2487.6,2025-02-04
ORD0000138,2306,美妆,1851.93,2,微信,2,3703.86,2025-02-04
ORD0000139,2567,美妆,331.53,1,货到付款,5,331.53,2025-02-04
ORD0000140,2869,家居,1931.04,3,支付宝,1,5793.12,2025-02-04
ORD0000141,1376,服装,419.25,3,支付宝,2,1257.75,2025-02-05
ORD0000142,4729,美妆,1484.95,1,微信,2,1484.95,2025-02-05
ORD0000143,2179,服装,1097.3,1,微信,4,1097.3,2025-02-05
ORD0000144,1507,美妆,1769.22,4,支付宝,5,7076.88,2025-02-05
ORD0000145,2436,运动,1111.85,1,微信,4,1111.85,2025-02-06
ORD0000146,3575,数码,1073.19,4,支付宝,1,4292.76,2025-02-06
ORD0000147,4426,食品,398.69,4,支付宝,4,1594.76,2025-02-06
ORD0000148,1558,运动,340.55,5,支付宝,5,1702.75,2025-02-06
ORD0000149,4834,图书,1832.89,3,支付宝,3,5498.67,2025-02-07
ORD0000150,4258,数码,662.0,3,支付宝,3,1986.0,2025-02-07
ORD0000151,4102,图书,750.01,3,微信,1,2250.03,2025-02-07
ORD0000152,3307,美妆,1521.27,5,微信,3,7606.35,2025-02-07
ORD0000153,1420,食品,683.85,4,银行卡,4,2735.4,2025-02-08
ORD0000154,2552,食品,1903.65,4,支付宝,1,7614.6,2025-02-08
ORD0000155,4622,美妆,1477.71,1,支付宝,5,1477.71,2025-02-08
ORD0000156,1303,美妆,1198.25,5,支付宝,1,5991.25,2025-02-08
ORD0000157,1941,服装,1762.09,1,支付宝,1,1762.09,2025-02-09
ORD0000158,4110,美妆,108.57,5,微信,2,542.85,2025-02-09
ORD0000159,4560,家居,521.22,1,微信,2,521.22,2025-02-09
ORD0000160,4715,美妆,934.9,2,微信,1,1869.8,2025-02-09
ORD0000161,3589,家居,461.38,3,支付宝,3,1384.14,2025-02-10
ORD0000162,4741,美妆,1489.6,3,支付宝,2,4468.8,2025-02-10
ORD0000163,2301,服装,1838.3,4,微信,5,7353.2,2025-02-10
ORD0000164,4274,家居,852.82,2,支付宝,4,1705.64,2025-02-10
ORD0000165,2089,数码,690.44,3,微信,2,2071.32,2025-02-11
ORD0000166,3155,家居,1922.52,4,货到付款,1,7690.08,2025-02-11
ORD0000167,3315,运动,894.76,2,支付宝,3,1789.52,2025-02-11
ORD0000168,3269,服装,982.67,3,微信,4,2948.01,2025-02-11
ORD0000169,2827,图书,709.37,1,微信,2,709.37,2025-02-12
ORD0000170,2553,家居,1819.08,5,支付宝,3,9095.4,2025-02-12
ORD0000171,4161,运动,1141.61,2,微信,3,2283.22,2025-02-12
ORD0000172,1692,运动,1525.94,4,支付宝,3,6103.76,2025-02-12
ORD0000173,1254,运动,1624.66,2,支付宝,1,3249.32,2025-02-13
ORD0000174,2478,美妆,689.87,4,微信,5,2759.48,2025-02-13
ORD0000175,3300,运动,872.56,2,银行卡,3,1745.12,2025-02-13
ORD0000176,1256,美妆,1697.6,4,支付宝,4,6790.4,2025-02-13
ORD0000177,3430,图书,732.45,3,支付宝,2,2197.35,2025-02-14
ORD0000178,1441,服装,1589.12,1,银行卡,4,1589.12,2025-02-14
ORD0000179,2881,食品,1881.63,3,银行卡,1,5644.89,2025-02-14
ORD0000180,3646,美妆,1249.53,1,微信,1,1249.53,2025-02-14
ORD0000181,2113,运动,1485.07,3,支付宝,4,4455.21,2025-02-15
ORD0000182,4820,运动,1611.32,3,银行卡,5,4833.96,2025-02-15
ORD0000183,3437,数码,1690.77,2,支付宝,1,3381.54,2025-02-15
ORD0000184,1581,运动,795.7,5,微信,1,3978.5,2025-02-15
ORD0000185,4115,服装,111.87,4,支付宝,4,447.48,2025-02-16
ORD0000186,2735,家居,809.27,4,微信,1,3237.08,2025-02-16
ORD0000187,4735,家居,1350.07,4,支付宝,5,5400.28,2025-02-16
ORD0000188,3645,运动,905.69,1,支付宝,5,905.69,2025-02-16
ORD0000189,1018,数码,1499.66,4,支付宝,5,5998.64,2025-02-17
ORD0000190,2124,美妆,719.97,4,支付宝,2,2879.88,2025-02-17
ORD0000191,4985,服装,1272.47,2,微信,5,2544.94,2025-02-17
ORD0000192,3654,数码,380.71,3,银行卡,5,1142.13,2025-02-17
ORD0000193,4837,美妆,1500.47,4,货到付款,2,6001.88,2025-02-18
ORD0000194,2380,服装,1095.34,5,支付宝,3,5476.7,2025-02-18
ORD0000195,2565,运动,415.8,4,微信,1,1663.2,2025-02-18
ORD0000196,4832,家居,590.54,1,微信,5,590.54,2025-02-18
ORD0000197,3080,服装,1498.96,1,支付宝,1,1498.96,2025-02-19
ORD0000198,2993,运动,969.84,1,支付宝,4,969.84,2025-02-19
ORD0000199,4300,图书,439.61,4,微信,1,1758.44,2025-02-19
ORD0000200,2547,食品,1933.9,2,银行卡,2,3867.8,2025-02-19
ORD0000201,4701,服装,1432.36,5,微信,1,7161.8,2025-02-20
ORD0000202,1861,食品,1913.74,4,支付宝,1,7654.96,2025-02-20
ORD0000203,1154,服装,859.45,2,微信,1,1718.9,2025-02-20
ORD0000204,4494,食品,954.92,2,支付宝,3,1909.84,2025-02-20
ORD0000205,1904,图书,1796.02,4,微信,3,7184.08,2025-02-21
ORD0000206,2269,家居,1054.28,4,微信,4,4217.12,2025-02-21
ORD0000207,1404,美妆,1416.75,2,支付宝,2,2833.5,2025-02-21
ORD0000208,1843,食品,511.5,2,银行卡,1,1023.0,2025-02-21
ORD0000209,2782,图书,898.48,2,支付宝,1,1796.96,2025-02-22
ORD0000210,2564,食品,255.45,4,货到付款,1,1021.8,2025-02-22
ORD0000211,2184,家居,419.61,2,支付宝,1,839.22,2025-02-22
ORD0000212,1746,食品,11.78,1,支付宝,3,11.78,2025-02-22
ORD0000213,2725,图书,88.0,4,支付宝,4,352.0,2025-02-23
ORD0000214,4188,运动,1953.82,1,支付宝,5,1953.82,2025-02-23
ORD0000215,1270,图书,491.97,3,支付宝,2,1475.91,2025-02-23
ORD0000216,1769,数码,1329.29,4,微信,1,5317.16,2025-02-23
ORD0000217,2715,家居,1678.95,3,微信,4,5036.85,2025-02-24
ORD0000218,2510,运动,1105.22,2,微信,5,2210.44,2025-02-24
ORD0000219,4956,数码,314.52,2,支付宝,4,629.04,2025-02-24
ORD0000220,1171,家居,1458.2,5,微信,3,7291.0,2025-02-24
ORD0000221,1273,运动,1203.86,2,支付宝,5,2407.72,2025-02-25
ORD0000222,3306,食品,1464.43,3,微信,4,4393.29,2025-02-25
ORD0000223,2158,运动,1541.0,2,支付宝,3,3082.0,2025-02-25
ORD0000224,2706,图书,1950.09,4,银行卡,4,7800.36,2025-02-25
ORD0000225,4793,数码,1150.77,2,微信,4,2301.54,2025-02-26
ORD0000226,2771,食品,689.46,5,微信,5,3447.3,2025-02-26
ORD0000227,1421,图书,1299.76,2,支付宝,3,2599.52,2025-02-26
ORD0000228,2444,家居,146.04,3,支付宝,1,438.12,2025-02-26
ORD0000229,2209,运动,1794.91,3,支付宝,2,5384.73,2025-02-27
ORD0000230,3411,图书,247.36,2,银行卡,5,494.72,2025-02-27
ORD0000231,4678,食品,662.01,3,银行卡,3,1986.03,2025-02-27
ORD0000232,3425,数码,1632.5,3,支付宝,4,4897.5,2025-02-27
ORD0000233,4594,数码,1198.01,5,微信,3,5990.05,2025-02-28
ORD0000234,1579,运动,792.88,4,微信,2,3171.52,2025-02-28
ORD0000235,1890,图书,951.61,5,微信,2,4758.05,2025-02-28
ORD0000236,1721,食品,1709.68,1,支付宝,1,1709.68,2025-02-28
ORD0000237,4267,服装,686.2,5,支付宝,1,3431.0,2025-03-01
ORD0000238,1880,家居,1739.72,2,支付宝,2,3479.44,2025-03-01
ORD0000239,2121,家居,185.21,4,银行卡,5,740.84,2025-03-01
ORD0000240,3652,食品,1555.03,2,微信,5,3110.06,2025-03-01
ORD0000241,3007,服装,1695.76,1,微信,4,1695.76,2025-03-02
ORD0000242,3069,数码,371.55,4,银行卡,1,1486.2,2025-03-02
ORD0000243,2473,运动,865.9,3,微信,4,2597.7,2025-03-02
ORD0000244,4243,美妆,339.1,5,银行卡,1,1695.5,2025-03-02
ORD0000245,1382,美妆,1415.41,2,微信,2,2830.82,2025-03-03
ORD0000246,3181,运动,1074.76,1,支付宝,5,1074.76,2025-03-03
ORD0000247,2449,食品,1273.62,3,银行卡,5,3820.86,2025-03-03
ORD0000248,4096,服装,400.73,5,微信,2,2003.65,2025-03-03
ORD0000249,3550,服装,431.08,3,支付宝,4,1293.24,2025-03-04
ORD0000250,4256,家居,92.44,5,支付宝,4,462.2,2025-03-04
ORD0000251,4156,数码,650.52,4,支付宝,3,2602.08,2025-03-04
ORD0000252,2590,图书,1123.29,3,微信,1,3369.87,2025-03-04
ORD0000253,2786,服装,1716.42,3,银行卡,4,5149.26,2025-03-05
ORD0000254,1143,运动,1336.49,3,银行卡,2,4009.47,2025-03-05
ORD0000255,2886,图书,875.95,4,银行卡,4,3503.8,2025-03-05
ORD0000256,4981,美妆,1905.75,1,支付宝,5,1905.75,2025-03-05
ORD0000257,2702,图书,1440.55,5,支付宝,1,7202.75,2025-03-06
ORD0000258,2435,数码,1860.09,3,支付宝,3,5580.27,2025-03-06
ORD0000259,1223,运动,1059.33,4,银行卡,1,4237.32,2025-03-06
ORD0000260,1219,数码,524.89,1,支付宝,5,524.89,2025-03-06
ORD0000261,1178,图书,114.98,5,微信,5,574.9,2025-03-07
ORD0000262,2654,食品,1454.16,4,微信,5,5816.64,2025-03-07
ORD0000263,1432,服装,251.18,5,支付宝,5,1255.9,2025-03-07
ORD0000264,1264,运动,612.15,3,支付宝,2,1836.45,2025-03-07
ORD0000265,1953,食品,1069.04,1,货到付款,3,1069.04,2025-03-08
ORD0000266,1428,图书,1132.58,4,货到付款,5,4530.32,2025-03-08
ORD0000267,4733,服装,1204.52,1,支付宝,5,1204.52,2025-03-08
ORD0000268,3463,家居,340.6,3,微信,4,1021.8,2025-03-08
ORD0000269,4524,食品,765.24,1,货到付款,3,765.24,2025-03-09
ORD0000270,3774,食品,1237.56,1,支付宝,1,1237.56,2025-03-09
ORD0000271,3244,图书,1938.97,2,支付宝,3,3877.94,2025-03-09
ORD0000272,2577,美妆,1457.23,1,支付宝,3,1457.23,2025-03-09
ORD0000273,4124,图书,1845.05,5,微信,3,9225.25,2025-03-10
ORD0000274,1479,食品,1526.02,4,支付宝,5,6104.08,2025-03-10
ORD0000275,4514,服装,1186.88,2,支付宝,5,2373.76,2025-03-10
ORD0000276,2353,美妆,391.85,4,支付宝,2,1567.4,2025-03-10
ORD0000277,4322,图书,1336.0,4,微信,1,5344.0,2025-03-11
ORD0000278,4878,运动,1249.86,3,货到付款,4,3749.58,2025-03-11
ORD0000279,1889,图书,1208.27,3,银行卡,3,3624.81,2025-03-11
ORD0000280,4854,食品,984.13,2,银行卡,1,1968.26,2025-03-11
ORD0000281,1924,食品,1061.45,3,微信,1,3184.35,2025-03-12
ORD0000282,3170,家居,675.14,3,支付宝,2,2025.42,2025-03-12
ORD0000283,2902,图书,1042.86,3,支付宝,4,3128.58,2025-03-12
ORD0000284,2410,食品,402.86,4,银行卡,3,1611.44,2025-03-12
ORD0000285,2362,运动,1611.47,2,支付宝,4,3222.94,2025-03-13
ORD0000286,1777,数码,379.43,4,支付宝,2,1517.72,2025-03-13
ORD0000287,3395,美妆,178.91,5,微信,5,894.55,2025-03-13
ORD0000288,1028,数码,877.64,4,支付宝,1,3510.56,2025-03-13
ORD0000289,4022,美妆,1319.34,5,支付宝,3,6596.7,2025-03-14
ORD0000290,1034,运动,880.56,1,货到付款,5,880.56,2025-03-14
ORD0000291,4589,图书,560.39,1,银行卡,2,560.39,2025-03-14
ORD0000292,2419,家居,1120.16,5,支付宝,4,5600.8,2025-03-14
ORD0000293,3670,食品,700.12,5,货到付款,1,3500.6,2025-03-15
ORD0000294,4365,食品,1865.47,4,微信,3,7461.88,2025-03-15
ORD0000295,1588,食品,1845.13,5,微信,5,9225.65,2025-03-15
ORD0000296,4420,图书,1009.17,2,支付宝,5,2018.34,2025-03-15
ORD0000297,4218,美妆,662.09,1,支付宝,1,662.09,2025-03-16
ORD0000298,4138,运动,1476.13,1,微信,4,1476.13,2025-03-16
ORD0000299,1903,食品,82.93,5,银行卡,2,414.65,2025-03-16
ORD0000300,3567,数码,954.26,3,微信,4,2862.78,2025-03-16
ORD0000301,3169,食品,678.88,3,支付宝,4,2036.64,2025-03-17
ORD0000302,1339,图书,1840.94,5,支付宝,4,9204.7,2025-03-17
ORD0000303,1174,运动,33.78,2,银行卡,1,67.56,2025-03-17
ORD0000304,2923,家居,1109.5,3,支付宝,1,3328.5,2025-03-17
ORD0000305,2714,运动,1483.15,5,微信,2,7415.75,2025-03-18
ORD0000306,1596,数码,974.65,2,支付宝,4,1949.3,2025-03-18
ORD0000307,1450,食品,179.78,2,支付宝,1,359.56,2025-03-18
ORD0000308,1556,食品,1944.22,4,微信,2,7776.88,2025-03-18
ORD0000309,2159,服装,1040.27,2,微信,2,2080.54,2025-03-19
ORD0000310,4926,美妆,1231.58,3,支付宝,4,3694.74,2025-03-19
ORD0000311,4087,数码,480.54,3,支付宝,3,1441.62,2025-03-19
ORD0000312,2356,服装,971.63,5,银行卡,4,4858.15,2025-03-19
ORD0000313,4266,运动,863.52,5,支付宝,3,4317.6,2025-03-20
ORD0000314,4567,家居,158.88,2,微信,2,317.76,2025-03-20
ORD0000315,3056,美妆,221.06,1,货到付款,1,221.06,2025-03-20
ORD0000316,4899,数码,1675.72,4,支付宝,5,6702.88,2025-03-20
ORD0000317,3381,食品,486.93,1,银行卡,2,486.93,2025-03-21
ORD0000318,4404,运动,397.69,2,支付宝,1,795.38,2025-03-21
ORD0000319,2016,数码,1014.22,2,微信,2,2028.44,2025-03-21
ORD0000320,3374,食品,1539.01,1,支付宝,4,1539.01,2025-03-21
ORD0000321,3062,美妆,133.12,4,货到付款,3,532.48,2025-03-22
ORD0000322,1838,食品,1157.23,1,支付宝,2,1157.23,2025-03-22
ORD0000323,2637,家居,247.02,5,支付宝,1,1235.1,2025-03-22
ORD0000324,1225,运动,82.42,3,货到付款,4,247.26,2025-03-22
ORD0000325,4496,图书,114.81,5,微信,5,574.05,2025-03-23
ORD0000326,2813,食品,1669.14,3,微信,4,5007.42,2025-03-23
ORD0000327,4479,家居,244.56,2,支付宝,3,489.12,2025-03-23
ORD0000328,3160,图书,99.71,4,微信,4,398.84,2025-03-23
ORD0000329,3020,运动,880.93,1,支付宝,5,880.93,2025-03-24
ORD0000330,2451,美妆,1688.69,4,支付宝,1,6754.76,2025-03-24
ORD0000331,3048,美妆,531.86,1,微信,2,531.86,2025-03-24
ORD0000332,3313,运动,848.73,5,支付宝,3,4243.65,2025-03-24
ORD0000333,2514,运动,89.31,5,货到付款,5,446.55,2025-03-25
ORD0000334,2231,数码,903.16,1,银行卡,3,903.16,2025-03-25
ORD0000335,2645,家居,1158.83,4,微信,4,4635.32,2025-03-25
ORD0000336,2735,家居,1145.49,1,银行卡,3,1145.49,2025-03-25
ORD0000337,3999,运动,671.13,2,微信,5,1342.26,2025-03-26
ORD0000338,4440,服装,637.53,5,支付宝,2,3187.65,2025-03-26
ORD0000339,1305,服装,221.99,2,微信,2,443.98,2025-03-26
ORD0000340,3059,图书,739.5,5,支付宝,3,3697.5,2025-03-26
ORD0000341,4416,图书,207.8,5,支付宝,1,1039.0,2025-03-27
ORD0000342,4536,服装,1534.74,3,银行卡,3,4604.22,2025-03-27
ORD0000343,2723,运动,1931.92,2,微信,4,3863.84,2025-03-27
ORD0000344,2689,运动,1939.48,2,银行卡,2,3878.96,2025-03-27
ORD0000345,2517,图书,1730.61,3,支付宝,2,5191.83,2025-03-28
ORD0000346,2391,食品,1204.94,4,微信,2,4819.76,2025-03-28
ORD0000347,4917,运动,1403.99,2,支付宝,1,2807.98,2025-03-28
ORD0000348,3984,服装,577.2,1,微信,1,577.2,2025-03-28
ORD0000349,1419,家居,1264.57,3,微信,5,3793.71,2025-03-29
ORD0000350,3936,运动,916.23,2,微信,3,1832.46,2025-03-29
ORD0000351,4862,运动,968.68,4,支付宝,3,3874.72,2025-03-29
ORD0000352,3218,食品,1517.19,2,支付宝,4,3034.38,2025-03-29
ORD0000353,1133,图书,570.66,5,支付宝,2,2853.3,2025-03-30
ORD0000354,3030,运动,642.51,1,微信,1,642.51,2025-03-30
ORD0000355,4012,美妆,1849.1,3,银行卡,4,5547.3,2025-03-30
ORD0000356,2450,数码,121.74,5,支付宝,4,608.7,2025-03-30
ORD0000357,4096,服装,975.88,4,微信,1,3903.52,2025-03-31
ORD0000358,2553,美妆,1825.55,5,银行卡,3,9127.75,2025-03-31
ORD0000359,4261,图书,1223.97,5,微信,2,6119.85,2025-03-31
ORD0000360,2164,家居,1096.76,4,微信,3,4387.04,2025-03-31
ORD0000361,4626,数码,506.67,5,银行卡,4,2533.35,2025-04-01
ORD0000362,2869,美妆,692.71,3,支付宝,2,2078.13,2025-04-01
ORD0000363,2819,数码,1704.71,2,支付宝,5,3409.42,2025-04-01
ORD0000364,3705,服装,1122.24,5,支付宝,4,5611.2,2025-04-01
ORD0000365,4386,图书,1033.77,3,货到付款,3,3101.31,2025-04-02
ORD0000366,4515,运动,207.97,2,银行卡,3,415.94,2025-04-02
ORD0000367,2342,家居,41.78,2,微信,3,83.56,2025-04-02
ORD0000368,2464,图书,1926.77,5,支付宝,1,9633.85,2025-04-02
