客户ID,在网月数,月消费_元,累计消费_元,订购服务数,客服呼叫次数,合约类型,套餐名称,是否流失
C000047,28,73.5,2187.01,6,2,月付,基础套餐,0
C000048,45,369.19,16783.26,2,3,月付,畅享套餐,0
C000049,26,96.03,2577.11,5,1,年付,尊享套餐,0
C000050,28,213.01,6130.27,3,1,月付,畅享套餐,0
C000051,40,223.43,8968.08,6,2,月付,基础套餐,0
C000052,15,104.62,1733.86,3,1,两年付,商务套餐,0
C000053,6,463.66,2890.02,5,2,两年付,旗舰套餐,1
C000054,27,31.25,888.34,2,2,两年付,商务套餐,0
C000055,38,450.09,17184.85,3,1,年付,尊享套餐,1
C000056,68,445.4,30484.8,4,1,月付,畅享套餐,1
C000057,64,178.97,11610.79,6,2,月付,基础套餐,0
C000058,30,361.01,10945.32,5,1,月付,畅享套餐,1
C000059,3,148.82,469.49,2,2,月付,基础套餐,0
C000060,62,386.62,24054.0,4,2,两年付,商务套餐,0
C000061,12,293.73,3577.37,5,3,年付,尊享套餐,0
C000062,30,171.11,5147.5,7,3,年付,标准套餐,0
C000063,38,218.11,8396.62,2,2,月付,基础套餐,0
C000064,60,354.25,21432.84,4,4,两年付,商务套餐,0
C000065,38,455.87,17458.18,3,4,年付,尊享套餐,1
C000066,15,91.44,1421.54,5,1,月付,畅享套餐,0
C000067,18,298.54,5488.44,5,3,两年付,旗舰套餐,1
C000068,52,149.25,7949.65,3,1,月付,畅享套餐,0
C000069,29,406.64,11937.14,7,0,月付,基础套餐,0
C000070,60,63.01,3918.49,1,3,年付,标准套餐,0
C000071,21,353.81,7623.64,4,3,年付,尊享套餐,1
C000072,17,112.22,2067.51,3,0,月付,畅享套餐,0
C000073,18,310.3,5612.72,5,0,月付,基础套餐,1
C000074,57,422.78,24167.99,4,4,两年付,商务套餐,1
C000075,37,384.89,14433.96,7,1,年付,尊享套餐,0
C000076,60,383.88,23130.74,4,4,年付,标准套餐,0
C000077,38,273.39,10411.15,1,2,月付,基础套餐,0
C000078,12,448.65,5475.52,5,2,月付,畅享套餐,1
C000079,1,306.41,445.81,2,3,月付,基础套餐,0
C000080,58,461.23,26950.85,1,2,月付,畅享套餐,0
C000081,3,286.87,925.39,1,2,月付,基础套餐,0
C000082,63,267.8,16974.22,2,0,月付,畅享套餐,0
C000083,21,134.51,3000.65,2,3,年付,尊享套餐,0
C000084,23,286.05,6650.2,7,2,月付,畅享套餐,1
C000085,9,96.07,886.48,7,2,年付,尊享套餐,0
C000086,55,438.75,24321.04,1,1,月付,畅享套餐,1
C000087,19,347.67,6703.42,4,1,月付,基础套餐,1
C000088,62,497.01,30915.18,3,1,月付,畅享套餐,0
C000089,39,73.29,2982.55,3,3,月付,基础套餐,0
C000090,27,143.12,3864.95,1,1,月付,畅享套餐,0
C000091,46,442.26,20530.19,4,4,两年付,旗舰套餐,0
C000092,34,215.77,7408.47,2,2,年付,标准套餐,0
C000093,33,249.16,8301.67,6,1,月付,基础套餐,0
C000094,50,434.51,21760.32,1,1,月付,畅享套餐,0
C000095,20,275.26,5580.83,5,3,年付,尊享套餐,1
C000096,40,120.93,4997.99,4,2,年付,标准套餐,0
C000097,58,449.25,26216.5,5,0,月付,基础套餐,0
C000098,31,44.6,1569.76,5,3,年付,标准套餐,0
C000099,38,450.84,17212.57,1,1,年付,尊享套餐,1
C000100,45,53.74,2560.04,4,0,年付,标准套餐,0
C000101,41,342.95,14162.4,5,6,年付,尊享套餐,0
C000102,9,63.69,734.01,7,1,两年付,商务套餐,0
C000103,9,361.92,3399.79,7,4,两年付,旗舰套餐,1
C000104,63,45.97,2969.69,4,3,月付,畅享套餐,0
C000105,22,425.96,9438.45,3,3,年付,尊享套餐,1
C000106,16,248.99,4034.33,6,3,年付,标准套餐,0
C000107,32,73.92,2480.74,5,3,年付,尊享套餐,0
C000108,66,362.21,24098.63,5,1,两年付,商务套餐,0
C000109,14,259.97,3679.59,4,0,月付,基础套餐,0
C000110,38,119.75,4569.55,7,1,月付,畅享套餐,0
C000111,8,37.37,322.84,6,1,月付,基础套餐,0
C000112,21,226.46,4912.28,3,0,月付,畅享套餐,0
C000113,56,70.25,4004.02,5,1,月付,基础套餐,0
C000114,46,74.26,3460.83,1,3,年付,标准套餐,0
C000115,43,155.64,6763.09,7,0,月付,基础套餐,0
C000116,46,326.32,15139.79,4,0,年付,标准套餐,0
C000117,48,279.06,13504.24,4,2,年付,尊享套餐,0
C000118,70,62.42,4518.12,7,1,月付,畅享套餐,0
C000119,31,485.16,15107.77,5,4,月付,基础套餐,1
C000120,33,446.97,14840.42,3,0,年付,标准套餐,1
C000121,44,151.84,6701.35,5,2,年付,尊享套餐,0
C000122,71,87.5,6227.11,7,4,两年付,商务套餐,0
C000123,8,472.93,3875.89,2,2,两年付,旗舰套餐,1
C000124,2,246.74,553.8,5,4,两年付,商务套餐,0
C000125,17,176.25,3118.81,6,1,年付,尊享套餐,1
C000126,52,260.47,13553.04,7,2,两年付,商务套餐,0
C000127,45,393.19,17717.9,6,0,年付,尊享套餐,0
C000128,37,109.14,4211.22,7,2,两年付,商务套餐,0
C000129,42,390.72,16523.5,2,2,月付,基础套餐,0
C000130,44,382.24,16960.97,6,4,两年付,商务套餐,1
C000131,38,283.49,10941.01,6,1,月付,基础套餐,0
C000132,6,436.95,2714.47,1,5,年付,标准套餐,1
C000133,68,92.11,6415.69,4,1,月付,基础套餐,0
C000134,51,309.88,15908.8,6,0,月付,畅享套餐,0
C000135,35,241.19,8486.2,4,3,月付,基础套餐,0
C000136,58,228.48,13319.37,7,1,月付,畅享套餐,0
C000137,57,148.7,8573.97,3,3,月付,基础套餐,0
C000138,6,204.97,1293.2,5,4,年付,标准套餐,1
C000139,13,80.83,1117.9,1,0,月付,基础套餐,0
C000140,59,148.25,8814.23,7,1,月付,畅享套餐,0
C000141,30,157.82,4759.17,2,2,月付,基础套餐,0
C000142,2,368.71,754.35,3,1,年付,标准套餐,0
C000143,58,52.82,3072.86,1,4,月付,基础套餐,0
C000144,36,336.06,12120.35,1,1,月付,畅享套餐,1
C000145,45,134.06,6101.44,7,4,月付,基础套餐,0
C000146,9,68.47,735.0,2,0,年付,标准套餐,0
C000147,65,171.38,11177.33,2,0,月付,基础套餐,0
C000148,50,135.5,6952.6,4,2,月付,畅享套餐,0
C000149,32,289.46,9424.4,5,4,月付,基础套餐,1
C000150,43,197.97,8616.82,7,4,两年付,商务套餐,0
C000151,54,484.02,26281.92,3,1,月付,基础套餐,0
C000152,47,482.87,22768.16,5,3,年付,标准套餐,0
C000153,14,238.55,3347.06,3,1,月付,基础套餐,0
C000154,48,403.69,19557.99,1,1,月付,畅享套餐,0
C000155,55,36.24,2018.76,6,1,月付,基础套餐,0
C000156,29,287.47,8526.22,6,2,月付,畅享套餐,0
C000157,47,379.35,17943.83,7,3,月付,基础套餐,1
C000158,63,131.96,8374.59,2,3,月付,畅享套餐,0
C000159,19,58.75,1215.35,2,0,月付,基础套餐,0
C000160,9,103.28,1029.85,1,0,年付,标准套餐,1
C000161,37,237.67,8798.45,1,0,两年付,旗舰套餐,0
C000162,52,267.99,14006.57,3,1,月付,畅享套餐,0
C000163,57,209.02,12062.11,1,2,年付,尊享套餐,0
C000164,28,236.79,6732.13,7,3,两年付,商务套餐,0
C000165,36,251.01,9085.21,3,2,年付,尊享套餐,0
C000166,64,391.64,25131.98,5,3,月付,畅享套餐,0
C000167,18,79.46,1602.89,2,3,年付,尊享套餐,0
C000168,35,391.41,13804.46,2,4,月付,畅享套餐,1
C000169,68,353.65,24153.87,6,2,年付,尊享套餐,0
C000170,39,378.58,14956.91,6,1,月付,畅享套餐,1
C000171,8,375.2,3065.78,7,2,月付,基础套餐,0
C000172,15,251.18,3863.61,2,2,月付,畅享套餐,0
C000173,7,129.36,1067.86,7,2,月付,基础套餐,1
C000174,17,282.22,4949.52,5,1,年付,标准套餐,1
C000175,64,480.25,30789.16,5,1,月付,基础套餐,0
C000176,12,306.61,3709.54,4,0,年付,标准套餐,1
C000177,56,35.19,2110.78,3,0,月付,基础套餐,0
C000178,46,58.06,2722.29,6,2,月付,畅享套餐,0
C000179,47,496.65,23527.09,3,1,年付,尊享套餐,1
C000180,16,63.81,1046.81,6,7,两年付,商务套餐,0
C000181,69,51.64,3626.82,4,1,月付,基础套餐,0
C000182,2,195.92,402.8,2,1,月付,畅享套餐,1
C000183,54,485.58,26361.98,7,1,两年付,旗舰套餐,0
C000184,27,179.78,5032.31,3,2,月付,畅享套餐,0
C000185,31,222.65,7029.32,6,4,两年付,旗舰套餐,0
C000186,41,328.02,13636.37,3,2,年付,标准套餐,0
C000187,36,41.33,1513.58,2,1,月付,基础套餐,0
C000188,47,451.95,21259.2,7,1,月付,畅享套餐,0
C000189,43,274.14,11955.7,1,1,月付,基础套餐,0
C000190,65,249.4,16382.1,6,0,月付,畅享套餐,0
C000191,50,434.54,21893.21,1,4,两年付,旗舰套餐,0
C000192,1,477.95,637.74,4,1,年付,标准套餐,1
C000193,57,229.01,13126.02,7,3,年付,尊享套餐,0
C000194,16,111.05,1820.29,5,3,年付,标准套餐,0
C000195,28,413.38,11760.4,3,3,月付,基础套餐,0
C000196,22,219.53,4891.06,6,2,年付,标准套餐,0
C000197,41,469.71,19337.79,3,2,月付,基础套餐,0
C000198,19,476.45,9192.46,4,3,年付,标准套餐,0
C000199,50,83.97,4257.17,4,2,月付,基础套餐,0
C000200,59,479.58,28459.05,3,0,年付,标准套餐,0
C000201,69,203.09,14027.22,6,3,两年付,旗舰套餐,0
C000202,34,333.74,11505.4,7,2,月付,畅享套餐,0
C000203,39,46.33,1927.24,2,4,月付,基础套餐,0
C000204,7,447.78,3249.06,7,2,年付,标准套餐,1
C000205,52,331.55,17332.28,2,1,月付,基础套餐,0
C000206,60,332.47,20003.61,5,3,年付,标准套餐,0
C000207,52,454.02,23701.85,7,2,两年付,旗舰套餐,1
C000208,24,268.92,6544.09,3,2,月付,畅享套餐,0
C000209,26,222.94,5913.19,3,0,月付,基础套餐,0
C000210,10,437.08,4427.11,6,0,年付,标准套餐,1
C000211,17,378.94,6457.5,3,4,月付,基础套餐,1
C000212,2,476.02,981.06,6,1,月付,畅享套餐,1
C000213,27,471.86,12880.06,3,2,两年付,旗舰套餐,0
C000214,71,209.69,14892.49,4,1,年付,标准套餐,0
C000215,48,240.08,11695.13,1,1,月付,基础套餐,0
C000216,9,150.31,1491.67,3,1,月付,畅享套餐,0
C000217,23,340.5,7985.12,1,2,年付,尊享套餐,1
C000218,71,201.33,14461.63,2,3,年付,标准套餐,1
C000219,27,399.47,10810.23,5,2,年付,尊享套餐,0
C000220,71,87.13,6350.72,7,1,月付,畅享套餐,0
C000221,43,84.71,3743.46,7,1,两年付,旗舰套餐,0
C000222,7,126.09,1059.73,2,2,年付,标准套餐,0
C000223,63,69.62,4563.38,3,1,年付,尊享套餐,0
C000224,44,321.41,14146.88,7,3,年付,标准套餐,0
C000225,39,99.26,3947.71,6,2,月付,基础套餐,1
C000226,40,105.18,4312.48,2,1,两年付,商务套餐,0
C000227,7,36.69,392.5,4,3,月付,基础套餐,1
C000228,70,397.58,27887.84,1,3,月付,畅享套餐,1
C000229,25,411.78,10344.93,6,4,年付,尊享套餐,1
C000230,59,106.15,6339.1,7,0,年付,标准套餐,0
C000231,13,377.58,5008.73,6,4,年付,尊享套餐,0
C000232,62,233.77,14683.97,3,2,年付,标准套餐,0
C000233,8,142.61,1293.3,4,2,月付,基础套餐,1
C000234,45,322.05,14578.11,1,0,两年付,商务套餐,1
C000235,18,113.89,2060.89,4,1,月付,基础套餐,0
C000236,60,385.74,23178.1,2,4,两年付,商务套餐,0
C000237,60,52.38,3233.98,3,2,月付,基础套餐,0
C000238,2,480.79,1124.35,6,3,年付,标准套餐,1
C000239,66,63.78,4285.62,6,2,月付,基础套餐,0
C000240,14,302.34,4340.46,2,7,年付,标准套餐,0
C000241,48,454.03,21971.8,6,2,两年付,旗舰套餐,1
C000242,56,35.6,2176.36,5,3,月付,畅享套餐,0
C000243,12,264.3,3214.75,3,0,年付,尊享套餐,0
C000244,55,194.5,10706.22,2,2,年付,标准套餐,0
C000245,28,302.76,8538.36,3,3,年付,尊享套餐,0
C000246,4,135.96,683.0,1,3,两年付,商务套餐,0
C000247,36,60.5,2368.22,3,3,月付,基础套餐,0
C000248,50,324.19,16224.91,3,3,月付,畅享套餐,0
C000249,3,225.92,683.46,1,1,月付,基础套餐,0
C000250,1,322.57,499.4,2,2,月付,畅享套餐,1
C000251,17,128.95,2341.78,3,2,月付,基础套餐,1
C000252,71,189.21,13632.36,4,1,年付,标准套餐,0
C000253,62,293.99,18306.74,3,1,月付,基础套餐,0
C000254,48,308.76,14903.69,2,3,月付,畅享套餐,0
C000255,62,204.99,12743.84,6,4,月付,基础套餐,0
C000256,69,161.63,11175.64,7,1,年付,标准套餐,0
C000257,19,158.64,3129.9,1,0,年付,尊享套餐,1
C000258,34,112.11,3884.6,6,2,月付,畅享套餐,0
C000259,49,182.94,8980.12,2,1,两年付,旗舰套餐,0
C000260,47,123.74,5993.18,5,2,月付,畅享套餐,1
C000261,50,327.89,16434.17,7,3,两年付,旗舰套餐,0
C000262,26,297.46,7883.68,6,2,年付,标准套餐,0
C000263,56,209.82,11806.37,3,0,月付,基础套餐,0
C000264,14,183.14,2726.54,7,1,年付,标准套餐,0
C000265,25,141.68,3565.68,3,1,年付,尊享套餐,0
C000266,4,281.67,1277.89,1,0,月付,畅享套餐,0
C000267,32,461.88,14799.78,3,4,两年付,旗舰套餐,1
C000268,65,352.28,22987.58,7,1,月付,畅享套餐,0
C000269,61,379.87,23318.87,4,2,月付,基础套餐,0
C000270,20,422.16,8477.84,4,0,月付,畅享套餐,1
C000271,10,195.27,2009.83,6,4,月付,基础套餐,0
C000272,34,59.55,2197.65,2,0,月付,畅享套餐,0
C000273,61,322.6,19855.62,1,1,两年付,旗舰套餐,0
C000274,27,118.68,3213.35,5,2,月付,畅享套餐,0
C000275,40,297.45,11931.62,6,3,月付,基础套餐,0
C000276,65,377.57,24565.54,2,1,年付,标准套餐,0
C000277,33,398.31,13180.17,1,2,两年付,旗舰套餐,0
C000278,68,171.86,11880.52,7,4,两年付,商务套餐,0
C000279,71,270.84,19339.97,1,6,年付,尊享套餐,0
C000280,9,321.85,2990.27,7,0,两年付,商务套餐,1
C000281,16,415.16,6839.45,6,1,年付,尊享套餐,0
C000282,5,387.85,2050.64,2,1,两年付,商务套餐,1
C000283,23,494.35,11502.27,2,2,年付,尊享套餐,1
C000284,43,33.8,1519.95,3,0,月付,畅享套餐,0
C000285,57,235.62,13506.76,5,3,月付,基础套餐,0
C000286,51,150.34,7786.22,4,5,年付,标准套餐,0
C000287,13,86.35,1136.51,3,1,月付,基础套餐,0
C000288,24,458.41,11053.02,1,4,月付,畅享套餐,0
C000289,11,499.04,5528.8,5,2,年付,尊享套餐,1
C000290,52,114.88,5976.94,5,2,两年付,商务套餐,0
C000291,17,48.06,924.4,2,3,月付,基础套餐,1
C000292,37,159.28,6005.57,5,2,年付,标准套餐,0
C000293,13,422.39,5567.86,6,4,年付,尊享套餐,1
C000294,62,168.13,10477.81,5,2,两年付,商务套餐,0
C000295,8,56.74,584.33,1,7,两年付,旗舰套餐,0
C000296,56,54.67,3088.45,6,1,年付,标准套餐,0
C000297,70,230.89,16266.02,6,2,年付,尊享套餐,0
C000298,44,467.96,20743.85,3,3,月付,畅享套餐,0
C000299,60,164.38,9895.66,5,1,年付,尊享套餐,0
C000300,41,230.76,9611.81,2,1,年付,标准套餐,1
C000301,21,77.91,1788.27,7,3,两年付,旗舰套餐,0
C000302,42,261.98,11015.15,3,2,年付,标准套餐,0
C000303,29,357.38,10367.78,2,1,月付,基础套餐,0
C000304,65,157.44,10428.39,5,4,年付,标准套餐,0
C000305,17,169.45,2919.33,3,2,月付,基础套餐,0
C000306,30,425.73,12936.33,5,1,月付,畅享套餐,1
C000307,26,34.87,1018.99,1,2,月付,基础套餐,0
C000308,53,329.14,17497.31,3,3,月付,畅享套餐,1
C000309,19,215.13,4113.46,2,1,年付,尊享套餐,0
C000310,53,170.24,9122.06,1,0,月付,畅享套餐,1
C000311,17,339.07,5845.66,4,1,月付,基础套餐,1
C000312,46,422.29,19565.12,2,0,两年付,商务套餐,1
C000313,53,292.44,15680.15,7,1,月付,基础套餐,0
C000314,64,44.61,3016.09,5,2,月付,畅享套餐,0
C000315,45,246.86,11163.59,2,1,月付,基础套餐,0
C000316,49,247.5,12303.29,4,4,月付,畅享套餐,0
C000317,19,285.59,5592.89,2,1,月付,基础套餐,1
C000318,71,345.35,24705.68,1,2,月付,畅享套餐,0
C000319,65,39.08,2631.93,6,0,年付,尊享套餐,0
C000320,37,265.95,9993.87,2,0,月付,畅享套餐,0
C000321,70,306.5,21573.33,3,5,月付,基础套餐,0
C000322,26,191.38,5037.98,7,0,两年付,商务套餐,0
C000323,2,344.13,887.15,4,0,月付,基础套餐,1
C000324,59,137.24,8104.82,2,1,两年付,商务套餐,0
C000325,5,179.16,928.25,4,0,月付,基础套餐,0
C000326,37,482.5,18031.01,6,1,月付,畅享套餐,1
C000327,31,193.59,6013.4,1,1,年付,尊享套餐,0
C000328,48,192.86,9434.64,3,3,月付,畅享套餐,0
C000329,6,309.97,2002.86,5,1,月付,基础套餐,0
C000330,15,486.36,7302.74,2,1,年付,标准套餐,1
C000331,15,492.05,7466.61,1,3,月付,基础套餐,1
C000332,61,302.44,18599.73,4,2,年付,标准套餐,1
C000333,16,30.51,604.78,6,3,两年付,旗舰套餐,0
C000334,20,453.31,9253.37,7,1,月付,畅享套餐,0
C000335,44,298.01,13285.97,4,0,年付,尊享套餐,0
C000336,42,202.02,8551.37,7,0,年付,标准套餐,0
C000337,46,419.72,19324.05,6,1,两年付,旗舰套餐,0
C000338,34,217.92,7598.13,7,6,年付,标准套餐,0
C000339,64,46.0,3047.46,6,0,两年付,旗舰套餐,0
C000340,29,415.9,12075.98,1,5,月付,畅享套餐,1
C000341,3,286.55,1022.97,2,1,年付,尊享套餐,1
C000342,9,188.93,1874.07,5,3,月付,畅享套餐,0
C000343,25,147.92,3825.88,2,3,月付,基础套餐,0
C000344,42,309.08,13070.86,3,2,两年付,商务套餐,0
C000345,46,127.78,6010.31,2,2,月付,基础套餐,0
C000346,59,182.21,10891.73,6,2,两年付,商务套餐,0
C000347,21,329.17,7091.18,6,2,月付,基础套餐,1
C000348,22,444.33,9966.43,3,4,年付,标准套餐,0
C000349,29,280.46,8236.2,4,2,月付,基础套餐,0
C000350,63,386.78,24526.84,6,1,月付,畅享套餐,0
C000351,61,388.64,23899.94,3,2,月付,基础套餐,0
C000352,64,342.25,21934.25,6,3,年付,标准套餐,0
C000353,69,145.54,10045.91,5,3,月付,基础套餐,0
C000354,40,437.39,17669.39,6,1,年付,标准套餐,1
C000355,1,235.05,274.1,1,3,月付,基础套餐,1
C000356,65,50.78,3309.2,3,3,月付,畅享套餐,0
C000357,62,144.97,9020.16,7,1,月付,基础套餐,0
C000358,54,389.81,21126.56,2,1,月付,畅享套餐,0
C000359,60,62.49,3793.25,3,0,年付,尊享套餐,0
C000360,46,99.26,4627.01,4,1,两年付,商务套餐,0
C000361,5,356.29,1976.51,6,2,月付,基础套餐,1
C000362,22,449.52,10030.32,3,4,年付,标准套餐,0
C000363,53,327.85,17518.49,5,3,年付,尊享套餐,0
C000364,70,134.48,9432.54,3,1,月付,畅享套餐,0
C000365,32,55.1,1909.62,5,3,月付,基础套餐,0
C000366,11,319.11,3658.08,6,4,年付,标准套餐,0
C000367,10,52.28,654.75,2,2,月付,基础套餐,0
C000368,39,317.98,12446.91,6,3,月付,畅享套餐,0
C000369,31,136.02,4301.23,4,1,月付,基础套餐,0
C000370,12,455.19,5631.54,1,0,年付,标准套餐,1
C000371,38,253.29,9759.06,2,1,月付,基础套餐,0
C000372,67,135.25,9208.3,2,1,月付,畅享套餐,0
C000373,66,430.98,28562.15,1,3,月付,基础套餐,0
C000374,52,149.4,7858.72,3,1,月付,畅享套餐,0
C000375,5,174.1,1022.31,6,4,月付,基础套餐,0
C000376,11,422.11,4656.8,3,4,两年付,商务套餐,1
C000377,25,175.13,4512.88,3,1,月付,基础套餐,0
C000378,35,222.78,7996.74,6,1,年付,标准套餐,0
C000379,35,193.4,6925.04,4,1,月付,基础套餐,0
C000380,22,84.71,1921.73,2,3,年付,标准套餐,0
C000381,37,48.28,1841.92,5,3,年付,尊享套餐,0
C000382,55,370.53,20512.59,1,2,月付,畅享套餐,0
C000383,64,333.21,21504.61,2,2,年付,尊享套餐,0
C000384,20,162.71,3369.79,3,4,月付,畅享套餐,0
C000385,4,168.93,781.2,1,1,年付,尊享套餐,0
C000386,18,474.15,8566.78,5,2,月付,畅享套餐,1
C000387,51,494.21,25347.8,2,2,两年付,旗舰套餐,1
C000388,68,252.51,17311.14,2,2,年付,标准套餐,0
C000389,20,407.15,8336.39,4,3,两年付,旗舰套餐,1
C000390,9,376.24,3446.2,2,2,年付,标准套餐,1
C000391,26,169.74,4564.53,2,1,月付,基础套餐,0
C000392,25,57.52,1524.81,5,3,年付,标准套餐,0
C000393,68,97.0,6707.69,5,2,两年付,旗舰套餐,0
C000394,41,424.0,17547.29,1,2,两年付,商务套餐,0
C000395,59,373.67,22090.93,3,4,月付,基础套餐,0
C000396,45,342.24,15469.37,5,0,年付,标准套餐,0
C000397,41,91.4,3902.06,1,5,月付,基础套餐,0
C000398,38,330.77,12683.35,2,1,年付,标准套餐,1
C000399,19,392.91,7483.77,1,1,月付,基础套餐,0
C000400,14,434.48,6168.76,1,2,月付,畅享套餐,1
C000401,21,36.22,877.95,1,1,两年付,旗舰套餐,0
C000402,15,351.7,5457.4,6,1,月付,畅享套餐,1
C000403,3,38.98,154.64,1,0,年付,尊享套餐,0
C000404,37,362.23,13563.7,5,1,年付,标准套餐,0
C000405,46,328.74,15148.16,7,1,月付,基础套餐,0
C000406,16,99.72,1643.97,7,1,月付,畅享套餐,0
C000407,14,390.08,5509.79,7,1,年付,尊享套餐,1
C000408,9,62.12,734.58,7,0,月付,畅享套餐,0
C000409,7,418.41,2968.67,6,3,年付,尊享套餐,1
C000410,14,153.11,2300.93,3,1,两年付,商务套餐,0
C000411,6,353.76,2214.92,1,2,月付,基础套餐,1
C000412,15,464.13,7161.77,4,1,月付,畅享套餐,1
C000413,52,189.72,10033.26,7,1,月付,基础套餐,0
C000414,34,266.36,9204.18,2,1,年付,标准套餐,0
C000415,1,247.67,421.82,7,1,月付,基础套餐,1
C000416,69,104.08,7308.33,7,4,月付,畅享套餐,0
C000417,20,307.45,6317.73,2,5,年付,尊享套餐,1
C000418,7,379.21,2706.7,6,1,两年付,商务套餐,0
C000419,7,460.93,3246.05,2,0,月付,基础套餐,0
C000420,50,429.88,21617.19,2,3,月付,畅享套餐,0
C000421,2,269.71,626.36,6,4,两年付,旗舰套餐,1
C000422,47,367.94,17378.47,2,4,年付,标准套餐,0
C000423,14,406.37,5794.53,1,4,年付,尊享套餐,0
C000424,31,261.94,8192.42,7,3,年付,标准套餐,0
C000425,50,84.25,4337.71,3,2,两年付,旗舰套餐,0
C000426,61,235.83,14391.74,6,0,年付,标准套餐,0
C000427,41,425.96,17658.34,4,3,两年付,旗舰套餐,0
C000428,14,310.42,4530.82,6,3,年付,标准套餐,1
C000429,5,370.5,2039.55,5,2,年付,尊享套餐,1
C000430,5,117.08,658.4,4,1,月付,畅享套餐,1
C000431,64,483.24,31033.74,5,2,月付,基础套餐,1
C000432,29,219.92,6568.51,6,1,年付,标准套餐,0
C000433,5,337.21,1866.52,5,0,月付,基础套餐,0
C000434,36,38.87,1557.37,4,4,年付,标准套餐,0
C000435,19,89.84,1788.43,1,1,月付,基础套餐,0
C000436,64,397.56,25556.71,6,4,年付,标准套餐,0
C000437,22,484.95,10827.48,6,2,月付,基础套餐,1
C000438,34,180.43,6189.22,2,1,年付,标准套餐,0
C000439,56,47.47,2783.61,6,3,年付,尊享套餐,0
C000440,17,199.61,3558.96,7,2,月付,畅享套餐,0
C000441,56,38.21,2281.25,7,1,年付,尊享套餐,0
C000442,17,120.42,2143.04,6,0,月付,畅享套餐,0
C000443,18,383.66,7022.8,1,0,月付,基础套餐,0
C000444,45,470.43,21367.09,2,4,月付,畅享套餐,1
C000445,56,71.1,4102.0,3,4,月付,基础套餐,0
C000446,50,292.21,14767.62,5,3,两年付,商务套餐,0
C000447,58,149.32,8805.88,4,1,月付,基础套餐,0
C000448,18,95.36,1856.78,3,1,年付,标准套餐,0
C000449,7,132.92,1073.71,2,4,月付,基础套餐,0
C000450,10,301.55,3106.38,7,1,年付,标准套餐,1
C000451,69,60.61,4276.92,7,3,月付,基础套餐,0
C000452,3,234.08,795.81,7,1,年付,标准套餐,0
C000453,44,93.56,4123.29,1,3,年付,尊享套餐,0
C000454,70,158.16,11119.41,7,2,年付,标准套餐,0
